outer_fold,model,n_test_total,n_test_pos_real,n_test_pos_generated,n_test_pos_total,n_test_neg,threshold,test_pr_auc,test_roc_auc,test_precision,test_recall,test_f1,test_fbeta,tn,fp,fn,tp
1,SentenceTransformer+MLP+Optuna (offline),471,4,56,60,411,0.01824333891272545,0.6115981412348547,0.9496350364963504,0.6,0.25,0.35294117647058826,0.2830188679245283,401,10,45,15
2,SentenceTransformer+MLP+Optuna (offline),471,4,56,60,411,0.43351635336875916,0.8184891264082732,0.9865774533657745,0.8846153846153846,0.38333333333333336,0.5348837209302325,0.43233082706766923,408,3,37,23
3,SentenceTransformer+MLP+Optuna (offline),471,8,52,60,411,0.020716210827231407,0.7373349190018806,0.963300892133009,0.5578947368421052,0.8833333333333333,0.6838709677419355,0.7910447761194029,369,42,7,53
4,SentenceTransformer+MLP+Optuna (offline),471,24,36,60,411,0.6219559907913208,0.938769309748156,0.9975669099756691,0.9836065573770492,1.0,0.9917355371900827,0.9966777408637875,410,1,0,60
5,SentenceTransformer+MLP+Optuna (offline),470,5,55,60,410,0.037215620279312134,0.9915537063564472,0.9988617886178862,0.9230769230769231,1.0,0.96,0.9836065573770493,405,5,0,60
