metric,mean,std,min,max
threshold,0.22632950283586978,0.2831905043641988,0.01824333891272545,0.6219559907913208
test_pr_auc,0.8195490405499225,0.15313632764040908,0.6115981412348547,0.9915537063564472
test_roc_auc,0.9791884161177379,0.021824436756074938,0.9496350364963504,0.9988617886178862
test_precision,0.7898387203822924,0.19628917484858355,0.5578947368421052,0.9836065573770492
test_recall,0.7033333333333334,0.35928169078500694,0.25,1.0
test_f1,0.7046862804665677,0.2741227716834082,0.35294117647058826,0.9917355371900827
test_fbeta,0.6973357538704874,0.3248938565816385,0.2830188679245283,0.9966777408637875
