number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_pos_weight_scale,params_weight_decay,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
0,0.5882352941176471,2026-04-15 08:30:51.478332,2026-04-15 08:31:09.136017,0 days 00:00:17.657685,16,0.47489494299535906,128,0.00011569576574533853,2,0.8594355683562901,2.101849473547072e-05,0.5882352941176471,0.7692307692307693,0.47619047619047616,0.47836917638778687,COMPLETE
1,0.6153846153846154,2026-04-15 08:31:09.136236,2026-04-15 08:31:20.747365,0 days 00:00:11.611129,32,0.42084321874137887,384,0.00038301401367309715,2,1.0605477544642876,7.643711108919508e-05,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.09877759963274002,COMPLETE
2,0.5789473684210527,2026-04-15 08:31:20.747575,2026-04-15 08:31:33.859148,0 days 00:00:13.111573,32,0.29761000999455495,256,0.00012175552361040187,2,1.4038087785114293,7.397758032014634e-06,0.5789473684210527,0.6470588235294118,0.5238095238095238,0.4731690585613251,COMPLETE
3,0.5454545454545454,2026-04-15 08:31:33.859360,2026-04-15 08:31:47.272889,0 days 00:00:13.413529,32,0.46308627647030753,384,0.00012182848204890062,2,0.9365891077214098,0.0001849252876198807,0.5454545454545454,0.75,0.42857142857142855,0.35154998302459717,COMPLETE
4,0.625,2026-04-15 08:31:47.273103,2026-04-15 08:32:05.722443,0 days 00:00:18.449340,16,0.14285807805939923,256,0.0004310950238581994,2,1.2888406897778968,4.538565757254833e-06,0.625,0.5555555555555556,0.7142857142857143,0.025706665590405464,COMPLETE
5,0.7,2026-04-15 08:32:05.722749,2026-04-15 08:32:11.143429,0 days 00:00:05.420680,32,0.2977303704588724,256,0.002501949969132518,2,1.1406002399115263,1.0899593042994865e-05,0.7,0.7368421052631579,0.6666666666666666,0.044237494468688965,COMPLETE
6,0.6666666666666666,2026-04-15 08:32:11.143642,2026-04-15 08:32:15.060499,0 days 00:00:03.916857,64,0.22443888468957943,256,0.0009187312052135646,3,1.1266083663706414,1.8743548070419968e-06,0.6666666666666666,0.8,0.5714285714285714,0.006602450739592314,COMPLETE
7,0.5142857142857142,2026-04-15 08:32:15.060737,2026-04-15 08:32:25.826013,0 days 00:00:10.765276,16,0.19150784906733356,128,0.00020593687307953292,3,1.2912989392380185,3.4146904343173353e-06,0.5142857142857142,0.6428571428571429,0.42857142857142855,0.5118739008903503,COMPLETE
8,0.6857142857142857,2026-04-15 08:32:25.826227,2026-04-15 08:32:32.922720,0 days 00:00:07.096493,32,0.3859344531565828,128,0.0011713751343328872,2,1.1404983845608463,1.1737405916887397e-06,0.6857142857142857,0.8571428571428571,0.5714285714285714,0.24133901298046112,COMPLETE
9,0.6829268292682927,2026-04-15 08:32:32.922949,2026-04-15 08:32:43.267388,0 days 00:00:10.344439,64,0.18277910660396346,384,0.0001328506598048789,2,1.216565835534952,1.0949508803912011e-06,0.6829268292682927,0.7,0.6666666666666666,0.2864406108856201,COMPLETE
