outer_fold,text_mode,n_test_total,n_test_pos_real,n_test_pos_generated,n_test_pos_total,n_test_neg,best_inner_objective,threshold,val_precision_at_thr,val_recall_at_thr,val_f1_at_thr,val_fbeta_at_thr,test_pr_auc,test_roc_auc,test_precision,test_recall,test_f1,test_fbeta,tn,fp,fn,tp
1,dual_text,471,4,56,60,411,0.8367690186924739,0.1127496212720871,0.8857142857142857,0.7560975609756098,0.8157894736842105,0.7788944723618092,0.56990384118578,0.8783049472830495,0.8823529411764706,0.25,0.38961038961038963,0.2918287937743191,409,2,45,15
2,dual_text,471,4,56,60,411,0.6347799173987262,0.840569019317627,1.0,0.5853658536585366,0.7384615384615385,0.6382978723404256,0.9151133696217741,0.9930251419302515,0.0,0.0,0.0,0.0,411,0,60,0
3,dual_text,471,8,52,60,411,0.2376408707842088,0.03865650296211243,0.509090909090909,0.7567567567567568,0.6086956521739131,0.689655172413793,0.831489575582498,0.9436739659367397,0.8478260869565217,0.65,0.7358490566037735,0.6818181818181818,404,7,21,39
4,dual_text,471,24,36,60,411,0.5705911256900987,0.17223642766475677,0.7777777777777778,0.6666666666666666,0.717948717948718,0.6862745098039216,1.0,1.0,0.9523809523809523,1.0,0.975609756097561,0.9900990099009901,408,3,0,60
5,dual_text,470,5,55,60,410,0.6245568026285451,0.4002154469490051,0.8928571428571429,0.625,0.7352941176470589,0.6648936170212767,0.9665615915615915,0.9944715447154472,1.0,0.2,0.3333333333333333,0.23809523809523808,410,0,48,12
