number,value,datetime_start,datetime_complete,duration,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_colsample_bytree,params_gamma,params_gen_pos_weight_mult,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_neg_weight_mult,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,params_real_pos_weight_mult,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_actual_w_generated_pos,user_attrs_actual_w_neg,user_attrs_actual_w_real_pos,user_attrs_text_mode,user_attrs_val_ap,user_attrs_val_best_threshold,user_attrs_val_f1,user_attrs_val_precision,user_attrs_val_recall,state
0,-1.296112733111983,2026-04-12 21:33:12.688951,2026-04-12 21:33:21.979344,0 days 00:00:09.290393,50,2,1,0.8282325176053111,4.0384079947900515,0.6143271137457867,0.07597699153186004,0.881061777549089,5,10,1000,0.9695704268987667,650,3,1,1.248522000906446,0.0003533479409438496,6.814365962033114,0.8146227619413249,0.7679088921822335,0.9695704268987667,3.745566002719338,dual_text,0.047831693724085966,0.007759772706776857,0.1008174386920981,0.05308464849354376,1.0,COMPLETE
1,-1.0083930157678922,2026-04-12 21:33:21.979591,2026-04-12 21:33:38.293694,0 days 00:00:16.314103,100,2,1,0.7330566421397322,2.746427948763879,1.0732113992957635,0.010218193085095403,1.1148654053641516,5,2,1400,0.944724471096928,350,3,1,1.5879825176071671,0.3831919434562504,0.053193777394281404,0.8603514432331152,1.3415142491197043,0.944724471096928,4.763947552821501,dual_text,0.11238967048202782,0.14832639694213867,0.19607843137254902,0.35714285714285715,0.13513513513513514,COMPLETE
2,-1.1091172664343594,2026-04-12 21:33:38.293927,2026-04-12 21:33:50.023027,0 days 00:00:11.729100,100,3,1,0.9650250898559946,1.5078975170271098,1.121042266326903,0.07590145802059567,1.9680731300764502,2,2,500,1.3450524767763659,350,2,2,1.2941389291004926,0.04462556634937546,0.05501140189556362,0.710258386057251,1.4013028329086288,1.3450524767763659,3.8824167873014774,dual_text,0.08368801807948845,0.024182988330721855,0.16279069767441862,0.14285714285714285,0.1891891891891892,COMPLETE
3,-0.8743801994076823,2026-04-12 21:33:50.023248,2026-04-12 21:34:01.782503,0 days 00:00:11.759255,150,1,1,0.9958504164528921,1.829479774346182,1.0068086596088923,0.012824701982554173,1.209590434572795,2,1,600,1.1809994984016523,550,3,1,1.849485950327633,0.6589392332028845,0.02939049695918687,0.8221171049612079,1.2585108245111154,1.1809994984016523,5.548457850982899,dual_text,0.12717631047074254,0.0052818674594163895,0.24060150375939848,0.13973799126637554,0.8648648648648649,COMPLETE
4,-1.0640031520485302,2026-04-12 21:34:01.782900,2026-04-12 21:34:09.535521,0 days 00:00:07.752621,50,1,1,0.8581252096626177,4.423565593320029,0.8902747616757838,0.09944432936720483,0.4744431576910906,5,3,1200,1.4927493856928793,650,4,1,2.039772489259482,3.770373747757858e-05,0.5677509582093367,0.96760886578172,1.1128434520947297,1.4927493856928793,6.119317467778446,dual_text,0.08878382060455087,0.2643299698829651,0.17777777777777778,0.5,0.10810810810810811,COMPLETE
5,-1.0430152298937254,2026-04-12 21:34:09.535884,2026-04-12 21:34:17.318586,0 days 00:00:07.782702,200,3,2,0.5854842753399515,0.18284004911610863,0.8996899948126409,0.021114061861125646,0.14951337124766528,6,3,400,1.2443927307029923,650,4,1,1.4978844769672943,1.988411042929186,0.15248731761971135,0.8156365721294275,1.124612493515801,1.2443927307029923,4.493653430901883,dual_text,0.10462054200402676,0.17208223044872284,0.18461538461538463,0.21428571428571427,0.16216216216216217,COMPLETE
6,-1.298427329915003,2026-04-12 21:34:17.318814,2026-04-12 21:34:26.407888,0 days 00:00:09.089074,50,1,1,0.7905755584460472,3.6276889990337144,0.7418738567804989,0.05211264383343397,1.6195942611885843,6,10,800,0.9885917179325606,250,3,1,1.2703698536711403,0.0018415079166736136,6.322760580848403,0.6897293248842282,0.9273423209756236,0.9885917179325606,3.8111095610134207,dual_text,0.05242233616656992,0.050113495439291,0.1,0.06504065040650407,0.21621621621621623,COMPLETE
7,-1.031704085058509,2026-04-12 21:34:26.408099,2026-04-12 21:34:33.927572,0 days 00:00:07.519473,100,1,1,0.7398997213207372,2.5150198901927068,0.7720647075823964,0.09671447343040812,0.22979056262694697,5,5,1300,1.3503900691960937,550,3,1,1.7886472898861006,6.775441931924606e-05,0.6682499596448789,0.7938445007803051,0.9650808844779956,1.3503900691960937,5.365941869658302,dual_text,0.07527263641448192,0.12806591391563416,0.18867924528301888,0.3125,0.13513513513513514,COMPLETE
8,-0.8052420164604294,2026-04-12 21:34:33.927817,2026-04-12 21:34:44.673698,0 days 00:00:10.745881,200,2,2,0.6236939827464248,1.8442970967393189,0.8619818860881894,0.013529315141570396,1.0976859452687209,3,1,700,1.3936962182615034,300,4,1,1.9288124978502572,1.3530545761576418,0.1969503781343075,0.9941674047879066,1.0774773576102368,1.3936962182615034,5.786437493550771,dual_text,0.15448422498157285,0.004987778142094612,0.26337448559670784,0.1553398058252427,0.8648648648648649,COMPLETE
9,-0.8797495888429531,2026-04-12 21:34:44.673955,2026-04-12 21:34:57.816209,0 days 00:00:13.142254,250,1,1,0.9905209100050971,1.6632053000916842,1.1140408037973821,0.027341555048927487,1.861635745221993,3,1,1400,1.2535045934505613,550,3,2,2.0065207365916007,0.0018971853351982216,1.6315740839023098,0.9674148394053073,1.3925510047467275,1.2535045934505613,6.0195622097748025,dual_text,0.12775002364285915,0.004439833108335733,0.23880597014925373,0.13852813852813853,0.8648648648648649,COMPLETE
10,-0.948067862465525,2026-04-12 21:34:57.816429,2026-04-12 21:35:12.898444,0 days 00:00:15.082015,250,2,2,0.55210630730495,5.730951435935246,0.5319898383445502,0.005750888603054835,0.7447478892393071,3,7,800,1.4481571120096706,250,4,2,2.189569455523934,0.028081458143594626,0.01209005966970863,0.9073360522587121,0.6649872979306877,1.4481571120096706,6.568708366571801,dual_text,0.10944962952754675,0.10751190036535263,0.21621621621621623,0.21621621621621623,0.21621621621621623,COMPLETE
11,-1.14151757167868,2026-04-12 21:35:12.898657,2026-04-12 21:35:23.992112,0 days 00:00:11.093455,200,2,2,0.652242031410387,0.6496358927905408,0.9811253697916648,0.01402043944517133,1.3567762023178576,2,5,600,1.1223260601624756,450,2,1,1.8226744193661815,2.170237968976886,0.013401807707097322,0.8931231551476737,1.226406712239581,1.1223260601624756,5.468023258098544,dual_text,0.07537433882126475,0.006049314048141241,0.15207373271889402,0.08312342569269521,0.8918918918918919,COMPLETE
12,-0.8488558940750905,2026-04-12 21:35:23.992499,2026-04-12 21:35:36.878062,0 days 00:00:12.885563,150,3,2,0.9253993365498633,1.6485159874100948,1.005281072565329,0.00756622636535564,1.2244678216355578,3,1,700,1.11326292387125,500,4,1,1.9385953811042809,0.17061091589743946,0.09116706603406201,0.7518711479743034,1.2566013407066612,1.11326292387125,5.815786143312843,dual_text,0.13247648680516427,0.0061801401898264885,0.2490566037735849,0.14473684210526316,0.8918918918918919,COMPLETE
