number,value,datetime_start,datetime_complete,duration,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_colsample_bytree,params_gamma,params_gen_pos_weight_mult,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_neg_weight_mult,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,params_real_pos_weight_mult,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_actual_w_generated_pos,user_attrs_actual_w_neg,user_attrs_actual_w_real_pos,user_attrs_text_mode,user_attrs_val_ap,user_attrs_val_best_threshold,user_attrs_val_f1,user_attrs_val_precision,user_attrs_val_recall,state
0,0.33771022109278326,2026-04-12 21:59:44.378821,2026-04-12 21:59:58.636618,0 days 00:00:14.257797,200,1,2,0.9401866280248556,4.8126482811206825,0.8086070424008631,0.025120408149886687,0.7896638983602355,2,5,900,1.4476333739611187,600,3,1,1.2428654483522639,0.0005925936315842201,0.02005106019326969,0.9110009358928552,1.010758803001079,1.4476333739611187,3.7285963450567916,dual_text,0.5903407030927773,0.12625791132450104,0.64,0.5517241379310345,0.7619047619047619,COMPLETE
1,0.29801216486721727,2026-04-12 21:59:58.636956,2026-04-12 22:00:13.425037,0 days 00:00:14.788081,50,2,1,0.983543686729133,0.5405115372002582,0.7766017436721422,0.0240341572042817,0.29797780315981015,2,3,600,1.0845235575594399,500,2,1,2.1905262064126862,0.023557025725366776,3.19270567507992,0.7322326367188472,0.9707521795901777,1.0845235575594399,6.571578619238059,dual_text,0.5219741230248938,0.2101474553346634,0.6274509803921569,0.5333333333333333,0.7619047619047619,COMPLETE
2,0.2290750064731023,2026-04-12 22:00:13.425396,2026-04-12 22:00:30.799225,0 days 00:00:17.373829,250,1,2,0.6124199158059045,1.3138372642520773,0.6790133966658467,0.007015214715859752,1.6717034581260874,4,1,600,1.0017646586798405,550,4,1,1.2646028780898257,3.8623108638474104e-05,0.17667326556430543,0.92671178375456,0.8487667458323084,1.0017646586798405,3.7938086342694772,dual_text,0.5040506033669818,0.17563429474830627,0.6046511627906976,0.5909090909090909,0.6190476190476191,COMPLETE
3,0.2612252167343223,2026-04-12 22:00:30.799817,2026-04-12 22:00:49.107229,0 days 00:00:18.307412,50,3,2,0.7689572970859812,3.4719280947151883,0.5132778647916231,0.015005545312936661,0.896771387319832,4,9,1400,1.1965955556883086,250,2,2,1.6248002562289217,0.00018826487784777995,0.8930304727813229,0.8999053888338704,0.6415973309895289,1.1965955556883086,4.874400768686765,dual_text,0.5023790193492058,0.22888225317001343,0.6153846153846154,0.6666666666666666,0.5714285714285714,COMPLETE
4,-0.13430843167368545,2026-04-12 22:00:49.107462,2026-04-12 22:01:07.791818,0 days 00:00:18.684356,50,2,2,0.6455780379778774,0.306236092652892,0.8266083663706414,0.014373177545701213,0.18295907609080375,2,10,1000,1.2745749492248564,500,2,2,2.0107133531462105,9.413330706101796e-05,0.7985116349398069,0.7300693679339169,1.0332604579633018,1.2745749492248564,6.032140059438632,dual_text,0.3715371260286691,0.4379945397377014,0.48484848484848486,0.6666666666666666,0.38095238095238093,COMPLETE
5,0.12754757725320998,2026-04-12 22:01:07.792055,2026-04-12 22:01:25.056002,0 days 00:00:17.263947,200,1,1,0.7386049808442494,1.4391113021859991,1.006449418484818,0.020819039132820225,0.4138955330198173,3,5,500,0.913914424825817,550,4,2,1.9148361328914572,0.0022677224054337536,1.9339030352623432,0.65266394405266,1.2580617731060226,0.913914424825817,5.7445083986743715,dual_text,0.4420620989165298,0.4505878984928131,0.5714285714285714,0.7142857142857143,0.47619047619047616,COMPLETE
6,0.15248420057738432,2026-04-12 22:01:25.056271,2026-04-12 22:01:40.043309,0 days 00:00:14.987038,100,3,2,0.6004983579644867,0.007545354641393054,1.0486051086382984,0.07392143585574676,0.15784286396851277,2,10,500,1.408683120034749,250,2,2,1.551831329811757,0.013844691492469887,7.894547142744904,0.7003280158965873,1.310756385797873,1.408683120034749,4.655493989435271,dual_text,0.5214031771408814,0.31906211376190186,0.5789473684210527,0.6470588235294118,0.5238095238095238,COMPLETE
7,0.5090481159867274,2026-04-12 22:01:40.043701,2026-04-12 22:01:55.247389,0 days 00:00:15.203688,100,2,1,0.9195315318843312,0.3891782711079561,0.6684322149767379,0.08111217262568966,1.4097278956208203,2,3,1400,0.9907722131298314,250,2,1,1.909862651739373,3.713436955139609e-05,0.023717222561722727,0.6906868532309254,0.8355402687209224,0.9907722131298314,5.729587955218119,dual_text,0.5341620057591306,0.12024754285812378,0.6976744186046512,0.6818181818181818,0.7142857142857143,COMPLETE
8,0.272328771761971,2026-04-12 22:01:55.247941,2026-04-12 22:02:09.476993,0 days 00:00:14.229052,150,1,1,0.9274074280462999,4.9476735342123455,1.1229045298179385,0.05153540195040981,1.1719748471903926,5,5,1100,1.2106347588004733,450,4,1,2.199425015868623,0.2594326118449035,0.11737645190251497,0.8422279914031072,1.4036306622724233,1.2106347588004733,6.598275047605869,dual_text,0.5061971539704638,0.21094317734241486,0.6190476190476191,0.6190476190476191,0.6190476190476191,COMPLETE
9,0.3095663687284944,2026-04-12 22:02:09.477366,2026-04-12 22:02:23.099347,0 days 00:00:13.621981,250,3,2,0.6211561688879619,0.504136870831495,0.8121657646181125,0.03501536336496266,1.043508446169586,5,8,400,1.0819133537343288,250,2,1,1.9586030011917313,0.09425463992224631,0.6478929356337546,0.7232878559161057,1.0152072057726407,1.0819133537343288,5.875809003575194,dual_text,0.49431755410771505,0.26026734709739685,0.631578947368421,0.7058823529411765,0.5714285714285714,COMPLETE
