number,value,datetime_start,datetime_complete,duration,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_colsample_bytree,params_gamma,params_gen_pos_weight_mult,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_neg_weight_mult,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,params_real_pos_weight_mult,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_actual_w_generated_pos,user_attrs_actual_w_neg,user_attrs_actual_w_real_pos,user_attrs_text_mode,user_attrs_val_ap,user_attrs_val_best_threshold,user_attrs_val_f1,user_attrs_val_precision,user_attrs_val_recall,state
0,0.0902212254146405,2026-04-12 20:23:18.762979,2026-04-12 20:23:29.044819,0 days 00:00:10.281840,100,1,2,0.9399918884046401,1.8965788261092522,0.8788135485983826,0.017542216220087413,0.15332539999289452,6,3,1200,0.9174082946546163,300,3,1,1.8660902130980257,0.00016240620241982372,0.14987210648795207,0.6699097278279031,1.0985169357479783,0.9174082946546163,5.598270639294077,dual_text,0.3407075138213487,0.1654425859451294,0.56,0.4745762711864407,0.6829268292682927,COMPLETE
1,-0.6938390909250128,2026-04-12 20:23:29.045081,2026-04-12 20:23:39.582621,0 days 00:00:10.537540,100,3,1,0.8363681549071852,5.4609184546809395,0.5577500347880088,0.01150816471421572,1.0505113422142909,2,6,700,1.4382591479889206,600,4,2,1.8697246517218078,2.278991231579278,4.344399487712444,0.8164587284525386,0.697187543485011,1.4382591479889206,5.609173955165423,dual_text,0.15841527902539557,0.024924350902438164,0.3004694835680751,0.18604651162790697,0.7804878048780488,COMPLETE
2,-1.0750543047607986,2026-04-12 20:23:39.583000,2026-04-12 20:23:56.951575,0 days 00:00:17.368575,150,3,2,0.8022984262496807,2.3951813154244483,0.6928911436542664,0.018077345856268197,1.3402903294047637,6,8,600,1.4380483618445177,250,2,2,1.8287857958821614,0.0017885297989870014,1.2897678887660076,0.805771494371389,0.8661139295678331,1.4380483618445177,5.486357387646484,dual_text,0.10688549348063167,0.0844532772898674,0.17391304347826086,0.21428571428571427,0.14634146341463414,COMPLETE
3,0.22021726162890598,2026-04-12 20:23:56.951816,2026-04-12 20:24:05.783286,0 days 00:00:08.831470,100,1,2,0.6604044638335119,4.171565201730558,0.9591739794766976,0.01805159317137579,0.20548555714642336,3,3,500,1.0797700654842148,550,3,2,1.4903327777707567,0.12463221442813358,1.2321129509798139,0.8558364149304316,1.198967474345872,1.0797700654842148,4.47099833331227,dual_text,0.43294486554184547,0.2797480821609497,0.6024096385542169,0.5952380952380952,0.6097560975609756,COMPLETE
4,0.41641369353824687,2026-04-12 20:24:05.783506,2026-04-12 20:24:18.452954,0 days 00:00:12.669448,50,2,2,0.9415816646655653,4.439182918820845,0.5169180374863812,0.006122345707613742,0.36942591509817757,4,1,700,1.18878200007319,650,3,2,2.1986982458966873,0.6911819123693018,5.894884985762483,0.8639471563845076,0.6461475468579765,1.18878200007319,6.596094737690062,dual_text,0.5471231179415699,0.3024083077907562,0.6666666666666666,0.7352941176470589,0.6097560975609756,COMPLETE
5,-1.055432360954166,2026-04-12 20:24:18.453174,2026-04-12 20:24:30.225310,0 days 00:00:11.772136,150,2,1,0.9572370312849627,5.534936902638243,0.5312930817050229,0.048585859169853605,1.6579225578782837,6,8,1200,1.0869764815854905,400,4,1,1.6901096610690627,0.010588091794781746,2.8367077647976884,0.7253299802455152,0.6641163521312786,1.0869764815854905,5.0703289832071885,dual_text,0.10714185290624896,0.012781268917024136,0.18045112781954886,0.1005586592178771,0.8780487804878049,COMPLETE
6,-0.5039201699815381,2026-04-12 20:24:30.225680,2026-04-12 20:24:41.991956,0 days 00:00:11.766276,200,2,1,0.7361584906300014,4.35727004256465,0.6432943513194587,0.005117509408061671,1.8109019686269472,3,10,500,1.3469742753193379,400,3,1,1.8443704966138137,4.585368885356644e-05,0.014970654967673523,0.8953414913016565,0.8041179391493234,1.3469742753193379,5.533111489841441,dual_text,0.1723579703123709,0.05397393926978111,0.36363636363636365,0.23703703703703705,0.7804878048780488,COMPLETE
7,0.26739600232290606,2026-04-12 20:24:41.992302,2026-04-12 20:24:58.290709,0 days 00:00:16.298407,100,2,2,0.6993332806740752,5.027583172018302,0.7649887376160989,0.02213994291617289,0.7102249408015289,2,1,900,0.9465346832969825,250,3,2,1.7963269801768658,0.0001495652051170851,0.01882770919673645,0.8279403262512423,0.9562359220201235,0.9465346832969825,5.3889809405305975,dual_text,0.3908633076707538,0.11630518734455109,0.6185567010309279,0.5357142857142857,0.7317073170731707,COMPLETE
8,0.3194053599981196,2026-04-12 20:24:58.291109,2026-04-12 20:25:12.573187,0 days 00:00:14.282078,250,3,2,0.9492807662472265,5.984235602090931,0.611396247587787,0.01616820237405586,0.9720310481197425,6,1,500,1.4713698316670376,600,2,1,1.679505021440668,0.0005615911362124125,6.232791798665645,0.8088867401148587,0.7642453094847337,1.4713698316670376,5.038515064322004,dual_text,0.45076690189811053,0.1263594627380371,0.6352941176470588,0.6136363636363636,0.6585365853658537,COMPLETE
9,-1.148662306760671,2026-04-12 20:25:12.573528,2026-04-12 20:25:22.810684,0 days 00:00:10.237156,150,1,1,0.9077840357498035,4.221234876789552,0.9382499293410295,0.04098549198716011,0.34325535183587697,2,6,1400,1.3023898621267505,350,4,2,1.9101747997970562,0.0008292172745920423,0.2874870638312888,0.7240533522421937,1.1728124116762868,1.3023898621267505,5.730524399391168,dual_text,0.08732481737934618,0.005764415021985769,0.14957264957264957,0.08196721311475409,0.8536585365853658,COMPLETE
10,-0.10534554806605645,2026-04-12 20:25:22.810921,2026-04-12 20:25:33.869086,0 days 00:00:11.058165,50,2,2,0.5656034645349486,0.03668171901518491,1.1514958910993838,0.11593492044882896,0.5724006325945004,4,4,800,1.1876232707537673,500,2,2,2.19722276480002,2.968759337247494,0.21084930745100822,0.9874346757216741,1.4393698638742296,1.1876232707537673,6.59166829440006,dual_text,0.264292940570984,0.03526603430509567,0.49557522123893805,0.3888888888888889,0.6829268292682927,COMPLETE
11,0.5610848379820234,2026-04-12 20:25:33.869333,2026-04-12 20:25:42.038489,0 days 00:00:08.169156,250,3,2,0.9982350922021879,5.994688097434709,0.5251825311225333,0.006701369633759163,0.9669115386506575,5,1,400,1.2314996316400832,650,2,1,1.2542472204249493,0.029189756792761083,6.752023148601682,0.9331162431667002,0.6564781639031667,1.2314996316400832,3.762741661274848,dual_text,0.6075898374960164,0.28584951162338257,0.7142857142857143,0.8620689655172413,0.6097560975609756,COMPLETE
12,0.5017760959235269,2026-04-12 20:25:42.038704,2026-04-12 20:25:59.617409,0 days 00:00:17.578705,250,3,2,0.996591586254569,3.333685067994156,0.7523964551902673,0.005098894542589656,0.7089881452179096,5,1,900,1.240956416618644,650,2,1,1.2758011941611795,0.08999569777237523,1.71336579939996,0.9480766509180096,0.9404955689878342,1.240956416618644,3.8274035824835386,dual_text,0.6147587530064559,0.271710604429245,0.6944444444444444,0.8064516129032258,0.6097560975609756,COMPLETE
