ablation,pr_auc,roc_auc,precision,recall,f1,delta_pr_auc,delta_roc_auc,delta_f1
remove_readme_branch,0.9995761498574822,0.9999415774099318,0.9063444108761329,1.0,0.9508716323296355,-0.00042385014251777875,-5.8422590068163416e-05,-0.04746447415954924
remove_aux_branch,0.9996011655803099,0.99994482310938,0.8450704225352113,1.0,0.916030534351145,-0.00039883441969013056,-5.5176890619956787e-05,-0.08230557213803968
remove_structured_branch,0.9449276493729157,0.9917088607594936,0.9803921568627451,0.3333333333333333,0.4975124378109453,-0.055072350627084266,-0.008291139240506396,-0.5008236686782395
