metric,mean,std,min,max
threshold,0.22632950283586978,0.2831905043641988,0.01824333891272545,0.6219559907913208
test_pr_auc,0.5119518028690466,0.35817495430380225,0.12129127966976264,0.9028571428571428
test_roc_auc,0.978356952109667,0.022425670896618215,0.948905109489051,0.9985365853658537
test_precision,0.38875324675324674,0.3560643171427283,0.09090909090909091,0.96
test_recall,0.675,0.3913118960624632,0.25,1.0
test_f1,0.4550411743644826,0.3568390012374303,0.13333333333333333,0.9795918367346939
test_fbeta,0.53847056422814,0.35767791844385094,0.1851851851851852,0.9917355371900827
