threshold,precision,recall,f1,f2,accuracy,confusion_matrix
0.008,0.3391167192429022,0.7166666666666667,0.4603854389721627,0.5861504907306434,0.7858963466440102,"[[1635, 419], [85, 215]]"
0.0081,0.33965244865718797,0.7166666666666667,0.4608788853161844,0.5864702673213311,0.786321155480034,"[[1636, 418], [85, 215]]"
0.008199999999999999,0.3401898734177215,0.7166666666666667,0.4613733905579399,0.5867903930131004,0.7867459643160578,"[[1637, 417], [85, 215]]"
0.008299999999999998,0.3401898734177215,0.7166666666666667,0.4613733905579399,0.5867903930131004,0.7867459643160578,"[[1637, 417], [85, 215]]"
0.008399999999999998,0.34181240063593005,0.7166666666666667,0.4628632938643703,0.5877528704209951,0.7880203908241291,"[[1640, 414], [85, 215]]"
0.008499999999999997,0.34235668789808915,0.7166666666666667,0.46336206896551724,0.588074398249453,0.7884451996601529,"[[1641, 413], [85, 215]]"
0.008599999999999997,0.34455128205128205,0.7166666666666667,0.4653679653679654,0.5893640350877193,0.7901444350042481,"[[1645, 409], [85, 215]]"
0.008699999999999996,0.34565916398713825,0.7166666666666667,0.46637744034707157,0.5900109769484083,0.7909940526762956,"[[1647, 407], [85, 215]]"
0.008799999999999995,0.345718901453958,0.7133333333333334,0.4657236126224157,0.5882352941176471,0.7914188615123194,"[[1649, 405], [86, 214]]"
0.008899999999999995,0.34627831715210355,0.7133333333333334,0.4662309368191721,0.5885588558855885,0.7918436703483432,"[[1650, 404], [86, 214]]"
0.008999999999999994,0.3474025974025974,0.7133333333333334,0.4672489082969432,0.5892070484581498,0.7926932880203909,"[[1652, 402], [86, 214]]"
0.009099999999999994,0.3474025974025974,0.7133333333333334,0.4672489082969432,0.5892070484581498,0.7926932880203909,"[[1652, 402], [86, 214]]"
0.009199999999999993,0.34796747967479674,0.7133333333333334,0.46775956284153003,0.5895316804407713,0.7931180968564147,"[[1653, 401], [86, 214]]"
0.009299999999999992,0.34796747967479674,0.7133333333333334,0.46775956284153003,0.5895316804407713,0.7931180968564147,"[[1653, 401], [86, 214]]"
0.009399999999999992,0.3485342019543974,0.7133333333333334,0.4682713347921225,0.5898566703417861,0.7935429056924383,"[[1654, 400], [86, 214]]"
0.009499999999999991,0.3502454991816694,0.7133333333333334,0.4698133918770582,0.5908337934842628,0.7948173322005098,"[[1657, 397], [86, 214]]"
0.00959999999999999,0.35081967213114756,0.7133333333333334,0.4703296703296703,0.5911602209944752,0.7952421410365336,"[[1658, 396], [86, 214]]"
0.00969999999999999,0.35139573070607555,0.7133333333333334,0.47084708470847086,0.5914870093974571,0.7956669498725574,"[[1659, 395], [86, 214]]"
0.00979999999999999,0.3525535420098847,0.7133333333333334,0.4718853362734289,0.5921416712783619,0.796516567544605,"[[1661, 393], [86, 214]]"
0.009899999999999989,0.35313531353135313,0.7133333333333334,0.47240618101545256,0.592469545957918,0.7969413763806287,"[[1662, 392], [86, 214]]"
0.009999999999999988,0.35313531353135313,0.7133333333333334,0.47240618101545256,0.592469545957918,0.7969413763806287,"[[1662, 392], [86, 214]]"
0.010099999999999987,0.3537190082644628,0.7133333333333334,0.47292817679558014,0.592797783933518,0.7973661852166525,"[[1663, 391], [86, 214]]"
0.010199999999999987,0.35323383084577115,0.71,0.4717607973421927,0.5906821963394343,0.7973661852166525,"[[1664, 390], [87, 213]]"
0.010299999999999986,0.3538205980066445,0.71,0.4722838137472284,0.5910099889012209,0.7977909940526763,"[[1665, 389], [87, 213]]"
0.010399999999999986,0.3555926544240401,0.71,0.4738598442714127,0.5919955530850473,0.7990654205607477,"[[1668, 386], [87, 213]]"
0.010499999999999985,0.3573825503355705,0.71,0.47544642857142855,0.5929844097995546,0.800339847068819,"[[1671, 383], [87, 213]]"
0.010599999999999984,0.3573825503355705,0.71,0.47544642857142855,0.5929844097995546,0.800339847068819,"[[1671, 383], [87, 213]]"
0.010699999999999984,0.3573825503355705,0.71,0.47544642857142855,0.5929844097995546,0.800339847068819,"[[1671, 383], [87, 213]]"
0.010799999999999983,0.35798319327731093,0.71,0.4759776536312849,0.5933147632311978,0.8007646559048428,"[[1672, 382], [87, 213]]"
0.010899999999999983,0.3569023569023569,0.7066666666666667,0.4742729306487696,0.5908584169453734,0.800339847068819,"[[1672, 382], [88, 212]]"
0.010999999999999982,0.3581081081081081,0.7066666666666667,0.47533632286995514,0.5915178571428571,0.8011894647408666,"[[1674, 380], [88, 212]]"
0.011099999999999981,0.3581081081081081,0.7066666666666667,0.47533632286995514,0.5915178571428571,0.8011894647408666,"[[1674, 380], [88, 212]]"
0.01119999999999998,0.3587140439932318,0.7066666666666667,0.47586980920314254,0.5918481295365717,0.8016142735768904,"[[1675, 379], [88, 212]]"
0.01129999999999998,0.3593220338983051,0.7066666666666667,0.4764044943820225,0.5921787709497207,0.8020390824129142,"[[1676, 378], [88, 212]]"
0.01139999999999998,0.3599320882852292,0.7066666666666667,0.4769403824521935,0.5925097820011179,0.802463891248938,"[[1677, 377], [88, 212]]"
0.011499999999999979,0.36054421768707484,0.7066666666666667,0.4774774774774775,0.5928411633109619,0.8028887000849617,"[[1678, 376], [88, 212]]"
0.011599999999999978,0.36006825938566556,0.7033333333333334,0.4762979683972912,0.5907054871220605,0.8028887000849617,"[[1679, 375], [89, 211]]"
0.011699999999999978,0.3606837606837607,0.7033333333333334,0.4768361581920904,0.5910364145658263,0.8033135089209855,"[[1680, 374], [89, 211]]"
0.011799999999999977,0.3595890410958904,0.7,0.4751131221719457,0.5885650224215246,0.8028887000849617,"[[1680, 374], [90, 210]]"
0.011899999999999977,0.3595890410958904,0.7,0.4751131221719457,0.5885650224215246,0.8028887000849617,"[[1680, 374], [90, 210]]"
0.011999999999999976,0.3595890410958904,0.7,0.4751131221719457,0.5885650224215246,0.8028887000849617,"[[1680, 374], [90, 210]]"
0.012099999999999975,0.3602058319039451,0.7,0.47565118912797283,0.5888951205832866,0.8033135089209855,"[[1681, 373], [90, 210]]"
0.012199999999999975,0.36082474226804123,0.7,0.47619047619047616,0.5892255892255892,0.8037383177570093,"[[1682, 372], [90, 210]]"
0.012299999999999974,0.3614457831325301,0.7,0.4767309875141884,0.5895564289724874,0.8041631265930331,"[[1683, 371], [90, 210]]"
0.012399999999999974,0.3614457831325301,0.7,0.4767309875141884,0.5895564289724874,0.8041631265930331,"[[1683, 371], [90, 210]]"
0.012499999999999973,0.3615916955017301,0.6966666666666667,0.4760820045558087,0.5877390326209224,0.8045879354290569,"[[1685, 369], [91, 209]]"
0.012599999999999972,0.3615916955017301,0.6966666666666667,0.4760820045558087,0.5877390326209224,0.8045879354290569,"[[1685, 369], [91, 209]]"
0.012699999999999972,0.3611111111111111,0.6933333333333334,0.4748858447488584,0.5855855855855856,0.8045879354290569,"[[1686, 368], [92, 208]]"
0.012799999999999971,0.3617391304347826,0.6933333333333334,0.4754285714285714,0.5859154929577465,0.8050127442650807,"[[1687, 367], [92, 208]]"
0.01289999999999997,0.36300174520069806,0.6933333333333334,0.4765177548682703,0.5865764241398759,0.8058623619371283,"[[1689, 365], [92, 208]]"
0.01299999999999997,0.36363636363636365,0.6933333333333334,0.47706422018348627,0.5869074492099323,0.806287170773152,"[[1690, 364], [92, 208]]"
0.01309999999999997,0.3649122807017544,0.6933333333333334,0.4781609195402299,0.5875706214689266,0.8071367884451996,"[[1692, 362], [92, 208]]"
0.013199999999999969,0.3649122807017544,0.6933333333333334,0.4781609195402299,0.5875706214689266,0.8071367884451996,"[[1692, 362], [92, 208]]"
0.013299999999999968,0.3655536028119508,0.6933333333333334,0.47871116225546606,0.5879027699265121,0.8075615972812235,"[[1693, 361], [92, 208]]"
0.013399999999999967,0.3655536028119508,0.6933333333333334,0.47871116225546606,0.5879027699265121,0.8075615972812235,"[[1693, 361], [92, 208]]"
0.013499999999999967,0.36507936507936506,0.69,0.47750865051903113,0.5857385398981324,0.8075615972812235,"[[1694, 360], [93, 207]]"
0.013599999999999966,0.3663716814159292,0.69,0.47861271676300576,0.5864022662889519,0.8084112149532711,"[[1696, 358], [93, 207]]"
0.013699999999999966,0.36589698046181174,0.6866666666666666,0.47740440324449596,0.5842314237095859,0.8084112149532711,"[[1697, 357], [94, 206]]"
0.013799999999999965,0.36589698046181174,0.6866666666666666,0.47740440324449596,0.5842314237095859,0.8084112149532711,"[[1697, 357], [94, 206]]"
0.013899999999999964,0.36589698046181174,0.6866666666666666,0.47740440324449596,0.5842314237095859,0.8084112149532711,"[[1697, 357], [94, 206]]"
0.013999999999999964,0.36476868327402134,0.6833333333333333,0.4756380510440835,0.5817253121452894,0.8079864061172473,"[[1697, 357], [95, 205]]"
0.014099999999999963,0.3667262969588551,0.6833333333333333,0.47729918509895225,0.5827174530983513,0.8092608326253186,"[[1700, 354], [95, 205]]"
0.014199999999999963,0.3673835125448029,0.6833333333333333,0.47785547785547783,0.5830489192263937,0.8096856414613424,"[[1701, 353], [95, 205]]"
0.014299999999999962,0.36936936936936937,0.6833333333333333,0.47953216374269003,0.584045584045584,0.8109600679694138,"[[1704, 350], [95, 205]]"
0.014399999999999961,0.3688969258589512,0.68,0.4783118405627198,0.5818596691386195,0.8109600679694138,"[[1705, 349], [96, 204]]"
0.01449999999999996,0.3688969258589512,0.68,0.4783118405627198,0.5818596691386195,0.8109600679694138,"[[1705, 349], [96, 204]]"
0.01459999999999996,0.3690909090909091,0.6766666666666666,0.4776470588235294,0.58,0.8113848768054376,"[[1707, 347], [97, 203]]"
0.01469999999999996,0.3697632058287796,0.6766666666666666,0.47820965842167257,0.5803316180674671,0.8118096856414614,"[[1708, 346], [97, 203]]"
0.014799999999999959,0.36996336996337,0.6733333333333333,0.47754137115839246,0.5784650630011455,0.8122344944774851,"[[1710, 344], [98, 202]]"
0.014899999999999958,0.3688073394495413,0.67,0.4757396449704142,0.5759312320916905,0.8118096856414614,"[[1710, 344], [99, 201]]"
0.014999999999999958,0.3688073394495413,0.67,0.4757396449704142,0.5759312320916905,0.8118096856414614,"[[1710, 344], [99, 201]]"
0.015099999999999957,0.3688073394495413,0.67,0.4757396449704142,0.5759312320916905,0.8118096856414614,"[[1710, 344], [99, 201]]"
0.015199999999999957,0.3694852941176471,0.67,0.476303317535545,0.5762614678899083,0.8122344944774851,"[[1711, 343], [99, 201]]"
0.015299999999999956,0.3694852941176471,0.67,0.476303317535545,0.5762614678899083,0.8122344944774851,"[[1711, 343], [99, 201]]"
0.015399999999999955,0.3701657458563536,0.67,0.47686832740213525,0.576592082616179,0.8126593033135089,"[[1712, 342], [99, 201]]"
0.015499999999999955,0.37084870848708484,0.67,0.47743467933491684,0.5769230769230769,0.8130841121495327,"[[1713, 341], [99, 201]]"
0.015599999999999954,0.36968576709796674,0.6666666666666666,0.4756242568370987,0.5743825387708213,0.8126593033135089,"[[1713, 341], [100, 200]]"
0.015699999999999954,0.37037037037037035,0.6666666666666666,0.47619047619047616,0.5747126436781609,0.8130841121495327,"[[1714, 340], [100, 200]]"
0.015799999999999953,0.37037037037037035,0.6666666666666666,0.47619047619047616,0.5747126436781609,0.8130841121495327,"[[1714, 340], [100, 200]]"
0.015899999999999952,0.37037037037037035,0.6666666666666666,0.47619047619047616,0.5747126436781609,0.8130841121495327,"[[1714, 340], [100, 200]]"
0.015999999999999952,0.3692022263450835,0.6633333333333333,0.47437425506555425,0.5721679125934445,0.8126593033135089,"[[1714, 340], [101, 199]]"
0.01609999999999995,0.37057728119180633,0.6633333333333333,0.4755077658303465,0.5728267127230858,0.8135089209855565,"[[1716, 338], [101, 199]]"
0.01619999999999995,0.37057728119180633,0.6633333333333333,0.4755077658303465,0.5728267127230858,0.8135089209855565,"[[1716, 338], [101, 199]]"
0.01629999999999995,0.37057728119180633,0.6633333333333333,0.4755077658303465,0.5728267127230858,0.8135089209855565,"[[1716, 338], [101, 199]]"
0.01639999999999995,0.37057728119180633,0.6633333333333333,0.4755077658303465,0.5728267127230858,0.8135089209855565,"[[1716, 338], [101, 199]]"
0.01649999999999995,0.37009345794392523,0.66,0.474251497005988,0.5706051873198847,0.8135089209855565,"[[1717, 337], [102, 198]]"
0.016599999999999948,0.37009345794392523,0.66,0.474251497005988,0.5706051873198847,0.8135089209855565,"[[1717, 337], [102, 198]]"
0.016699999999999948,0.3714821763602251,0.66,0.47539015606242496,0.571263704558569,0.8143585386576041,"[[1719, 335], [102, 198]]"
0.016799999999999947,0.37218045112781956,0.66,0.47596153846153844,0.5715935334872979,0.8147833474936279,"[[1720, 334], [102, 198]]"
0.016899999999999946,0.37218045112781956,0.66,0.47596153846153844,0.5715935334872979,0.8147833474936279,"[[1720, 334], [102, 198]]"
0.016999999999999946,0.37218045112781956,0.66,0.47596153846153844,0.5715935334872979,0.8147833474936279,"[[1720, 334], [102, 198]]"
0.017099999999999945,0.37218045112781956,0.66,0.47596153846153844,0.5715935334872979,0.8147833474936279,"[[1720, 334], [102, 198]]"
0.017199999999999944,0.3728813559322034,0.66,0.47653429602888087,0.5719237435008665,0.8152081563296517,"[[1721, 333], [102, 198]]"
0.017299999999999944,0.3728813559322034,0.66,0.47653429602888087,0.5719237435008665,0.8152081563296517,"[[1721, 333], [102, 198]]"
0.017399999999999943,0.3728813559322034,0.66,0.47653429602888087,0.5719237435008665,0.8152081563296517,"[[1721, 333], [102, 198]]"
0.017499999999999943,0.37358490566037733,0.66,0.4771084337349398,0.5722543352601156,0.8156329651656754,"[[1722, 332], [102, 198]]"
0.017599999999999942,0.3742911153119093,0.66,0.4776839565741858,0.5725853094274147,0.8160577740016992,"[[1723, 331], [102, 198]]"
0.01769999999999994,0.3742911153119093,0.66,0.4776839565741858,0.5725853094274147,0.8160577740016992,"[[1723, 331], [102, 198]]"
0.01779999999999994,0.3757115749525617,0.66,0.4788391777509069,0.5732484076433121,0.8169073916737468,"[[1725, 329], [102, 198]]"
0.01789999999999994,0.376425855513308,0.66,0.4794188861985472,0.5735805330243338,0.8173322005097706,"[[1726, 328], [102, 198]]"
0.01799999999999994,0.37714285714285717,0.66,0.48,0.5739130434782609,0.8177570093457944,"[[1727, 327], [102, 198]]"
0.01809999999999994,0.37714285714285717,0.66,0.48,0.5739130434782609,0.8177570093457944,"[[1727, 327], [102, 198]]"
0.01819999999999994,0.37714285714285717,0.66,0.48,0.5739130434782609,0.8177570093457944,"[[1727, 327], [102, 198]]"
0.018299999999999938,0.37786259541984735,0.66,0.48058252427184467,0.574245939675174,0.8181818181818182,"[[1728, 326], [102, 198]]"
0.018399999999999937,0.37786259541984735,0.66,0.48058252427184467,0.574245939675174,0.8181818181818182,"[[1728, 326], [102, 198]]"
