threshold,precision,recall,f1,f2,accuracy,roc_auc,pr_auc,confusion_matrix,original_recall,synthetic_recall,selection_score
0.015,0.3688073394495413,0.67,0.4757396449704142,0.5759312320916905,0.8118096856414614,0.8282351509250243,0.4110314023867707,"[[1710, 344], [99, 201]]",0.7555555555555555,0.6549019607843137,0.5210095965353552
0.01,0.35313531353135313,0.7133333333333334,0.47240618101545256,0.592469545957918,0.7969413763806287,0.8282351509250243,0.4110314023867707,"[[1662, 392], [86, 214]]",0.7555555555555555,0.7058823529411765,0.5171089691750632
0.02,0.37816764132553604,0.6466666666666666,0.47724477244772445,0.5662580268534735,0.8194562446898895,0.8282351509250243,0.4110314023867707,"[[1735, 319], [106, 194]]",0.7111111111111111,0.6352941176470588,0.5141103270681829
0.030000000000000002,0.3880597014925373,0.6066666666666667,0.47334200260078024,0.5452366686638707,0.8279524214103653,0.8282351509250243,0.4110314023867707,"[[1767, 287], [118, 182]]",0.7111111111111111,0.5882352941176471,0.512367594192022
0.025,0.38114754098360654,0.62,0.4720812182741117,0.5509478672985783,0.8232795242141037,0.8282351509250243,0.4110314023867707,"[[1752, 302], [114, 186]]",0.7111111111111111,0.6039215686274509,0.5107938291124611
0.005,0.3152639087018545,0.7366666666666667,0.44155844155844154,0.581273014203051,0.7625318606627017,0.8282351509250243,0.4110314023867707,"[[1574, 480], [79, 221]]",0.8222222222222222,0.7215686274509804,0.505061744405539
0.034999999999999996,0.3826879271070615,0.56,0.4546684709066306,0.5125076266015864,0.8288020390824129,0.8282351509250243,0.4110314023867707,"[[1783, 271], [132, 168]]",0.6888888888888889,0.5372549019607843,0.49431450012312533
0.065,0.4171270718232044,0.5033333333333333,0.4561933534743202,0.4833546734955185,0.8470688190314358,0.8282351509250243,0.4110314023867707,"[[1843, 211], [149, 151]]",0.6,0.48627450980392156,0.4810480546143446
0.04,0.3862559241706161,0.5433333333333333,0.4515235457063712,0.5024660912453761,0.8317757009345794,0.8282351509250243,0.4110314023867707,"[[1795, 259], [137, 163]]",0.6222222222222222,0.5294117647058824,0.47913651885596586
0.055,0.4036458333333333,0.5166666666666667,0.45321637426900585,0.4892676767676768,0.8411214953271028,0.8282351509250243,0.4110314023867707,"[[1825, 229], [145, 155]]",0.6,0.5019607843137255,0.4776160453216374
0.06,0.4053333333333333,0.5066666666666667,0.45037037037037037,0.4825396825396825,0.8423959218351742,0.8282351509250243,0.4110314023867707,"[[1831, 223], [148, 152]]",0.6,0.49019607843137253,0.47579259259259254
0.049999999999999996,0.39303482587064675,0.5266666666666666,0.45014245014245013,0.49313358302122334,0.8360237892948174,0.8282351509250243,0.4110314023867707,"[[1810, 244], [142, 158]]",0.6,0.5137254901960784,0.47440319768677974
0.045,0.3897058823529412,0.53,0.4491525423728814,0.4944029850746269,0.8343245539507221,0.8282351509250243,0.4110314023867707,"[[1805, 249], [141, 159]]",0.6,0.5176470588235295,0.473377367896311
0.07,0.4154727793696275,0.48333333333333334,0.44684129429892144,0.46804389928986445,0.8474936278674596,0.8282351509250243,0.4110314023867707,"[[1850, 204], [155, 145]]",0.5777777777777777,0.4666666666666667,0.46989173950176333
0.1,0.4423076923076923,0.46,0.45098039215686275,0.45634920634920645,0.8572642310960068,0.8282351509250243,0.4110314023867707,"[[1880, 174], [162, 138]]",0.5333333333333333,0.4470588235294118,0.46658371040723984
0.095,0.4371069182389937,0.4633333333333333,0.44983818770226536,0.45783926218708826,0.8555649957519117,0.8282351509250243,0.4110314023867707,"[[1875, 179], [161, 139]]",0.5333333333333333,0.45098039215686275,0.4652640898821518
0.07500000000000001,0.42011834319526625,0.47333333333333333,0.445141065830721,0.4616384915474642,0.8496176720475785,0.8282351509250243,0.4110314023867707,"[[1858, 196], [158, 142]]",0.5555555555555556,0.4588235294117647,0.4647216915121424
0.085,0.4298780487804878,0.47,0.44904458598726116,0.46138743455497383,0.8530161427357689,0.8282351509250243,0.4110314023867707,"[[1867, 187], [159, 141]]",0.5333333333333333,0.4588235294117647,0.46398568173579824
0.09000000000000001,0.4307692307692308,0.4666666666666667,0.448,0.459016393442623,0.8534409515717927,0.8282351509250243,0.4110314023867707,"[[1869, 185], [160, 140]]",0.5333333333333333,0.4549019607843137,0.46334358974358975
0.08,0.42342342342342343,0.47,0.44549763033175355,0.4598825831702544,0.85089209855565,0.8282351509250243,0.4110314023867707,"[[1862, 192], [159, 141]]",0.5333333333333333,0.4588235294117647,0.46085735024123653
