feature,coef,abs_coef
repo_name_entropy,0.7006285391268602,0.7006285391268602
hidden_file_count,-0.6381993112728758,0.6381993112728758
file_extension_diversity,0.47593545707158286,0.47593545707158286
avg_path_depth,-0.4732249979985023,0.4732249979985023
top_level_dir_count,0.472473809118218,0.472473809118218
owner_repo_density,-0.45064455453965885,0.45064455453965885
go_file_count,-0.44959250710189663,0.44959250710189663
large_file_count_ge_1mb,0.42155976497375763,0.42155976497375763
avg_file_size_bytes,-0.4184426525862441,0.4184426525862441
public_gists_count,0.3942317077190167,0.3942317077190167
repo_age_days,0.38021468487273746,0.38021468487273746
time_to_last_push_days,0.37300545115643574,0.37300545115643574
public_repos_count,-0.3508437310650463,0.3508437310650463
has_env_file,-0.33386283504226644,0.33386283504226644
readme_has_wallet_connect_keywords,-0.30790304877981506,0.30790304877981506
has_package_lock_json,-0.3078710845124997,0.3078710845124997
python_file_count,0.30699570740892457,0.30699570740892457
default_branch_is_main,-0.29210614192081846,0.29210614192081846
default_branch_is_master,0.29210614192081846,0.29210614192081846
env_file_count,0.28890508641082857,0.28890508641082857
blockchain_keyword_count,-0.28743973527566347,0.28743973527566347
repo_size_kb,-0.28194758360939914,0.28194758360939914
user_repo_creation_gap_days,-0.2736616350533779,0.2736616350533779
primary_language_is_javascript,0.26652015287730574,0.26652015287730574
hidden_file_ratio,0.26057120028988767,0.26057120028988767
user_age_days,-0.2526915471051795,0.2526915471051795
user_login_length,0.24931021524079075,0.24931021524079075
very_short_activity_window_flag,0.2460954913103776,0.2460954913103776
has_docs_dir,0.2444185981372758,0.2444185981372758
readme_has_contract_address,-0.2343637605040481,0.2343637605040481
is_recent_repo_flag,-0.2343637605040481,0.2343637605040481
deploy_related_file_count,-0.23139373914608793,0.23139373914608793
watch_to_star_ratio,0.22494519303460728,0.22494519303460728
js_ts_file_count,-0.22412446149043652,0.22412446149043652
repo_name_has_blockchain_keyword,-0.2169361254488565,0.2169361254488565
user_login_entropy,0.21404928996948733,0.21404928996948733
is_stale_repo_flag,0.2072250440949283,0.2072250440949283
description_has_blockchain_keyword,-0.20562780553050708,0.20562780553050708
executable_file_count,0.20143129615756128,0.20143129615756128
has_license_meta,-0.19158142062433176,0.19158142062433176
has_yarn_lock,-0.18786526429417258,0.18786526429417258
primary_language_is_python,-0.1767023462554994,0.1767023462554994
readme_has_airdrop_claim_keywords,-0.1762257836857432,0.1762257836857432
has_archive_files,-0.17014311852466632,0.17014311852466632
user_profile_completeness,-0.16681651581252643,0.16681651581252643
wallet_keyword_count,-0.16258798615130912,0.16258798615130912
forks_count,0.15903180156384422,0.15903180156384422
days_since_last_push,-0.15879816718691742,0.15879816718691742
has_truffle_config,0.15581597521290175,0.15581597521290175
rust_file_count,-0.1544304762863834,0.1544304762863834
subscribers_count,0.15056037894395638,0.15056037894395638
contract_file_ratio,-0.14826130732677564,0.14826130732677564
readme_has_badge,0.1469301219516932,0.1469301219516932
contract_test_ratio,0.14656044294543757,0.14656044294543757
has_package_json,-0.1436218038739616,0.1436218038739616
total_files_count,-0.1424287192771508,0.1424287192771508
has_license_file,-0.14214129860653077,0.14214129860653077
follower_to_following_ratio,-0.14113715599468427,0.14113715599468427
topics_count,-0.13829193598408604,0.13829193598408604
stargazers_count,0.13689566275034803,0.13689566275034803
has_deploy_dir,-0.13611874937775204,0.13611874937775204
has_test_dir,-0.13213991730670602,0.13213991730670602
has_hardhat_config,-0.13213991730670602,0.13213991730670602
primary_language_is_typescript,-0.13074693609647786,0.13074693609647786
followers_count,0.13020467869788457,0.13020467869788457
has_wiki_enabled,0.12722964638393106,0.12722964638393106
has_email,0.12287213047744558,0.12287213047744558
solidity_file_count,0.11928083963243291,0.11928083963243291
archive_file_count,0.11555466487948896,0.11555466487948896
max_file_size_bytes,0.11552027596957423,0.11552027596957423
has_pnpm_lock,0.11486184677945603,0.11486184677945603
readme_length,0.11157558740852878,0.11157558740852878
watchers_count,0.10501931852162712,0.10501931852162712
readme_has_sensitive_request_keywords,-0.10494452527837046,0.10494452527837046
readme_has_approve_keywords,0.09970155585084291,0.09970155585084291
external_domains_average_age,0.09763305456707129,0.09763305456707129
user_name_matches_login,0.09602372775623495,0.09602372775623495
fork_to_star_ratio,0.0911660881770268,0.0911660881770268
test_related_file_count,0.09085197389273565,0.09085197389273565
has_frontend_dir,0.08216205059813156,0.08216205059813156
wallet_frontend_risk_combo_flag,-0.07428105155302996,0.07428105155302996
has_homepage,0.07362543069198381,0.07362543069198381
external_domains_with_age_count,-0.07004953127656582,0.07004953127656582
max_path_depth,-0.06783330718531294,0.06783330718531294
open_issues_count,0.06574391632939762,0.06574391632939762
readme_has_install_run_commands,-0.06560269486744436,0.06560269486744436
docs_related_file_count,-0.06332576289606362,0.06332576289606362
risky_keyword_count,-0.061597245048206205,0.061597245048206205
has_ci_workflows,-0.05742998433782458,0.05742998433782458
network_count,-0.05477445033228389,0.05477445033228389
security_trust_keyword_count,0.054148141699029415,0.054148141699029415
external_domains_count,0.05238029404598043,0.05238029404598043
readme_unique_domain_count,0.050235547772771276,0.050235547772771276
repo_is_fork,-0.04711818358217314,0.04711818358217314
repo_name_length,0.04578842748870242,0.04578842748870242
download_lure_keyword_count,-0.0447978004669681,0.0447978004669681
following_count,-0.04214711005188499,0.04214711005188499
issues_to_star_ratio,0.03964076019427812,0.03964076019427812
frontend_contract_combo_flag,0.03801308285193001,0.03801308285193001
primary_language_is_rust,-0.03766057793002121,0.03766057793002121
has_cargo_toml,-0.03766057793002121,0.03766057793002121
desc_length,-0.033914063685236556,0.033914063685236556
has_executable_files,0.03370971017558692,0.03370971017558692
is_hireable,0.0309797194686502,0.0309797194686502
has_issues_enabled,0.030062128742362217,0.030062128742362217
has_twitter,-0.03005664954165415,0.03005664954165415
risk_filename_count,-0.02417820898916719,0.02417820898916719
readme_url_count,0.02159451818321007,0.02159451818321007
topic_has_blockchain_keyword,-0.01663601562212647,0.01663601562212647
binary_download_lure_combo_flag,-0.0153483077471883,0.0153483077471883
user_type_is_org,0.014832831317642335,0.014832831317642335
has_contracts_dir,0.014287918843068481,0.014287918843068481
framework_hint_count,-0.01061971593904143,0.01061971593904143
user_profile_update_span_days,-0.0034698255304309953,0.0034698255304309953
desc_unique_domain_count,0.0,0.0
allow_forking,0.0,0.0
desc_url_count,0.0,0.0
description_has_risky_keyword,0.0,0.0
description_has_download_lure_keyword,0.0,0.0
description_has_contract_address,0.0,0.0
description_has_block_explorer_link,0.0,0.0
homepage_domain_in_description,0.0,0.0
has_remix_config,0.0,0.0
has_projects_enabled,0.0,0.0
has_readme_file,0.0,0.0
has_pages_enabled,0.0,0.0
has_migrations_dir,0.0,0.0
explorer_domain_count,0.0,0.0
has_brownie_config,0.0,0.0
has_discussions_enabled,0.0,0.0
has_downloads_enabled,0.0,0.0
has_foundry_toml,0.0,0.0
has_go_mod,0.0,0.0
is_template_repo,0.0,0.0
is_user_deleted,0.0,0.0
homepage_domain_in_readme,0.0,0.0
homepage_domain_in_external_domains,0.0,0.0
primary_language_is_go,0.0,0.0
move_file_count,0.0,0.0
primary_language_is_solidity,0.0,0.0
readme_has_block_explorer_link,0.0,0.0
repo_name_has_brand_keyword,0.0,0.0
repo_disabled,0.0,0.0
repo_archived,0.0,0.0
token_standard_keyword_count,0.0,0.0
user_blog_matches_homepage_domain,0.0,0.0
user_blog_domain_in_external_domains,0.0,0.0
vyper_file_count,0.0,0.0
visibility_is_public,0.0,0.0
