feature,coef,abs_coef
repo_is_fork,0.1859467322973641,0.1859467322973641
description_has_blockchain_keyword,-0.1605477618719161,0.1605477618719161
has_env_file,0.1232209660447369,0.1232209660447369
tfidf_aux::blockchain,-0.0891299551984521,0.0891299551984521
tfidf_aux::wallet,-0.0792889880906861,0.0792889880906861
topic_has_blockchain_keyword,-0.0759348315834351,0.0759348315834351
readme_has_install_run_commands,0.0738361851376754,0.0738361851376754
repo_age_days,-0.0732473157227459,0.0732473157227459
blockchain_keyword_count,-0.0692525913731367,0.0692525913731367
tfidf_aux::web3,-0.068083984461153,0.068083984461153
