feature,coef,abs_coef
description_has_blockchain_keyword,-0.1605477618719161,0.1605477618719161
tfidf_aux::blockchain,-0.0891299551984521,0.0891299551984521
tfidf_aux::wallet,-0.0792889880906861,0.0792889880906861
topic_has_blockchain_keyword,-0.0759348315834351,0.0759348315834351
repo_age_days,-0.0732473157227459,0.0732473157227459
blockchain_keyword_count,-0.0692525913731367,0.0692525913731367
tfidf_aux::web3,-0.068083984461153,0.068083984461153
repo_name_has_blockchain_keyword,-0.0673507462595958,0.0673507462595958
tfidf_aux::ethereum,-0.0648066250131456,0.0648066250131456
topics_count,-0.064797973657526,0.064797973657526
