metric,mean,std,min,max
best_C,0.0017531244667081968,0.0007943042792977334,0.0010675950493233644,0.003125022446690782
threshold,0.6047504468,0.2125873731157264,0.3535560717,0.8272720505
test_pr_auc,0.7666442806203129,0.2041922408150685,0.47205216339243045,0.9485910180455351
test_roc_auc,0.91594748086167,0.09243878235689994,0.769829683698297,0.9975669099756691
test_precision,0.9222417325139011,0.07467000537724941,0.8333333333333334,1.0
test_recall,0.5133333333333334,0.3103313641183494,0.25,1.0
test_f1,0.6210942600706381,0.24041386898495204,0.38461538461538464,0.9448818897637795
test_fbeta,0.5468574276012598,0.2861561389784182,0.29069767441860467,0.9771986970684041
