number,value,datetime_start,datetime_complete,duration,params_C,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_calibration_method,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
0,0.3333333333333333,2026-04-14 12:14:10.014893,2026-04-14 12:14:19.151114,0 days 00:00:09.136221,2.3511831052196124,50,2,2,sigmoid,700,3,2,0.3333333333333333,0.4,0.2857142857142857,0.5862145931,COMPLETE
1,0.3389830508474576,2026-04-14 12:14:19.151344,2026-04-14 12:14:28.143054,0 days 00:00:08.991710,0.0905702368462626,100,1,2,sigmoid,400,4,2,0.3389830508474576,0.2631578947368421,0.47619047619047616,0.1855185865,COMPLETE
2,0.36363636363636365,2026-04-14 12:14:28.143267,2026-04-14 12:14:36.477624,0 days 00:00:08.334357,0.04990959625804973,100,3,1,sigmoid,400,2,1,0.36363636363636365,0.29411764705882354,0.47619047619047616,0.2074951617,COMPLETE
3,0.3492063492063492,2026-04-14 12:14:36.477834,2026-04-14 12:14:38.169775,0 days 00:00:01.691941,0.02102498009368619,300,2,2,isotonic,200,3,1,0.3492063492063492,0.2619047619047619,0.5238095238095238,0.006017041,COMPLETE
4,0.44,2026-04-14 12:14:38.170006,2026-04-14 12:14:41.962497,0 days 00:00:03.792491,0.0024403908562009593,50,3,1,isotonic,800,2,2,0.44,0.3793103448275862,0.5238095238095238,0.3008791924,COMPLETE
5,0.3684210526315789,2026-04-14 12:14:41.962758,2026-04-14 12:14:43.367883,0 days 00:00:01.405125,0.012586852029911501,250,1,1,isotonic,200,4,1,0.3684210526315789,0.4117647058823529,0.3333333333333333,0.3608647436,COMPLETE
6,0.3225806451612903,2026-04-14 12:14:43.368097,2026-04-14 12:14:47.142696,0 days 00:00:03.774599,0.07042510299876442,50,3,2,isotonic,200,2,2,0.3225806451612903,0.5,0.23809523809523808,0.6457461646,COMPLETE
7,0.2857142857142857,2026-04-14 12:14:47.142914,2026-04-14 12:14:48.545221,0 days 00:00:01.402307,0.06715504496137847,250,3,1,isotonic,800,3,1,0.2857142857142857,0.35714285714285715,0.23809523809523808,0.5735449735,COMPLETE
8,0.4074074074074074,2026-04-14 12:14:48.545410,2026-04-14 12:14:55.196446,0 days 00:00:06.651036,0.010023990605787025,200,1,1,sigmoid,500,4,1,0.4074074074074074,0.3333333333333333,0.5238095238095238,0.2792543559,COMPLETE
9,0.3225806451612903,2026-04-14 12:14:55.196710,2026-04-14 12:15:02.668804,0 days 00:00:07.472094,0.2890183626689437,50,3,1,sigmoid,600,4,1,0.3225806451612903,0.24390243902439024,0.47619047619047616,0.2010633884,COMPLETE
10,0.4117647058823529,2026-04-14 12:15:02.669080,2026-04-14 12:15:06.277895,0 days 00:00:03.608815,0.001148447371894791,150,2,1,isotonic,800,5,2,0.4117647058823529,0.5384615384615384,0.3333333333333333,0.6114050558,COMPLETE
11,0.4090909090909091,2026-04-14 12:15:06.278176,2026-04-14 12:15:10.075269,0 days 00:00:03.797093,0.001032996156558041,150,2,1,isotonic,800,5,2,0.4090909090909091,0.391304347826087,0.42857142857142855,0.4646464646,COMPLETE
12,0.4117647058823529,2026-04-14 12:15:10.075511,2026-04-14 12:15:13.916495,0 days 00:00:03.840984,0.0011852148789291404,150,2,1,isotonic,700,5,2,0.4117647058823529,0.5384615384615384,0.3333333333333333,0.6149323927,COMPLETE
13,0.43478260869565216,2026-04-14 12:15:13.917014,2026-04-14 12:15:17.736268,0 days 00:00:03.819254,0.0031848340713409207,100,2,1,isotonic,700,2,2,0.43478260869565216,0.4,0.47619047619047616,0.3333333333,COMPLETE
14,0.4444444444444444,2026-04-14 12:15:17.736482,2026-04-14 12:15:21.453422,0 days 00:00:03.716940,0.003973978220388055,100,3,1,isotonic,600,2,2,0.4444444444444444,0.5333333333333333,0.38095238095238093,0.5472231163,COMPLETE
