number,value,datetime_start,datetime_complete,duration,params_C,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_calibration_method,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
25,0.7272727272727273,2026-04-14 11:59:26.697696,2026-04-14 11:59:30.243643,0 days 00:00:03.545947,0.005981558841359909,150,2,2,isotonic,500,4,2,0.7272727272727273,0.96,0.5853658536585366,0.9592200841,COMPLETE
26,0.7352941176470589,2026-04-14 11:59:30.243829,2026-04-14 11:59:39.223091,0 days 00:00:08.979262,0.0010549577710057619,250,2,2,sigmoid,600,5,2,0.7352941176470589,0.9259259259259259,0.6097560975609756,0.7309972654,COMPLETE
27,0.7164179104477612,2026-04-14 11:59:39.223381,2026-04-14 11:59:43.442602,0 days 00:00:04.219221,0.14919220642353037,100,1,2,isotonic,400,3,2,0.7164179104477612,0.9230769230769231,0.5853658536585366,0.961025641,COMPLETE
28,0.7647058823529411,2026-04-14 11:59:43.442795,2026-04-14 11:59:47.206649,0 days 00:00:03.763854,0.0021928075144871284,200,3,2,isotonic,500,4,2,0.7647058823529411,0.9629629629629629,0.6341463414634146,0.8632019854,COMPLETE
29,0.7058823529411765,2026-04-14 11:59:47.206930,2026-04-14 11:59:50.817102,0 days 00:00:03.610172,0.013805710106549882,150,2,2,isotonic,300,3,2,0.7058823529411765,0.8888888888888888,0.5853658536585366,0.9530664979,COMPLETE
30,0.7536231884057971,2026-04-14 11:59:50.817297,2026-04-14 11:59:54.457284,0 days 00:00:03.639987,0.002231355044868178,150,2,2,isotonic,500,5,2,0.7536231884057971,0.9285714285714286,0.6341463414634146,0.8375937865,COMPLETE
31,0.7714285714285715,2026-04-14 11:59:54.457542,2026-04-14 11:59:57.979812,0 days 00:00:03.522270,0.001688121453615929,100,2,2,isotonic,400,5,2,0.7714285714285715,0.9310344827586207,0.6585365853658537,0.7700773673,COMPLETE
32,0.7352941176470589,2026-04-14 11:59:57.980077,2026-04-14 12:00:01.754408,0 days 00:00:03.774331,0.0034269934596180053,50,2,2,isotonic,400,5,2,0.7352941176470589,0.9259259259259259,0.6097560975609756,0.8599298599,COMPLETE
33,0.7272727272727273,2026-04-14 12:00:01.754618,2026-04-14 12:00:05.778940,0 days 00:00:04.024322,0.009745991420243868,100,2,2,isotonic,500,5,2,0.7272727272727273,0.96,0.5853658536585366,0.9592200841,COMPLETE
34,0.7272727272727273,2026-04-14 12:00:05.779132,2026-04-14 12:00:15.319043,0 days 00:00:09.539911,0.0017192267065337756,100,3,2,sigmoid,300,5,2,0.7272727272727273,0.96,0.5853658536585366,0.7613453297,COMPLETE
35,0.7272727272727273,2026-04-14 12:00:15.319371,2026-04-14 12:00:17.240398,0 days 00:00:01.921027,0.005195133859772485,300,2,2,isotonic,400,4,1,0.7272727272727273,0.96,0.5853658536585366,0.9592200841,COMPLETE
36,0.782608695652174,2026-04-14 12:00:17.240599,2026-04-14 12:00:21.175757,0 days 00:00:03.935158,0.0015081355360079688,150,3,2,isotonic,400,5,2,0.782608695652174,0.9642857142857143,0.6585365853658537,0.8313807155,COMPLETE
37,0.7352941176470589,2026-04-14 12:00:21.175957,2026-04-14 12:00:22.720323,0 days 00:00:01.544366,0.00408270994688512,150,3,2,isotonic,400,4,1,0.7352941176470589,0.9259259259259259,0.6097560975609756,0.7850862154,COMPLETE
38,0.7272727272727273,2026-04-14 12:00:22.720676,2026-04-14 12:00:32.396979,0 days 00:00:09.676303,3.306993136889143,150,3,2,sigmoid,600,5,2,0.7272727272727273,0.96,0.5853658536585366,0.9928578905,COMPLETE
39,0.7272727272727273,2026-04-14 12:00:32.397192,2026-04-14 12:00:37.310537,0 days 00:00:04.913345,0.9735204086770421,200,3,2,isotonic,300,4,1,0.7272727272727273,0.96,0.5853658536585366,0.9604366826,COMPLETE
40,0.7714285714285715,2026-04-14 12:00:37.310742,2026-04-14 12:00:41.408269,0 days 00:00:04.097527,0.0014064553260269533,300,3,2,isotonic,700,3,2,0.7714285714285715,0.9310344827586207,0.6585365853658537,0.7407985074,COMPLETE
41,0.7536231884057971,2026-04-14 12:00:41.408462,2026-04-14 12:00:45.478979,0 days 00:00:04.070517,0.0033055368222357703,100,3,2,isotonic,400,5,2,0.7536231884057971,0.9285714285714286,0.6341463414634146,0.7433663315,COMPLETE
42,0.782608695652174,2026-04-14 12:00:45.479322,2026-04-14 12:00:49.517243,0 days 00:00:04.037921,0.0014473872824798742,100,3,2,isotonic,400,5,2,0.782608695652174,0.9642857142857143,0.6585365853658537,0.7652464495,COMPLETE
43,0.7647058823529411,2026-04-14 12:00:49.517445,2026-04-14 12:00:53.558037,0 days 00:00:04.040592,0.0010184432776619466,150,3,2,isotonic,300,5,2,0.7647058823529411,0.9629629629629629,0.6341463414634146,0.8535368319,COMPLETE
44,0.7647058823529411,2026-04-14 12:00:53.558232,2026-04-14 12:00:57.669566,0 days 00:00:04.111334,0.0027534178948714237,50,3,2,isotonic,200,5,2,0.7647058823529411,0.9629629629629629,0.6341463414634146,0.8750559546,COMPLETE
45,0.7272727272727273,2026-04-14 12:00:57.669770,2026-04-14 12:01:08.145056,0 days 00:00:10.475286,8.368287513382128,100,3,2,isotonic,500,5,2,0.7272727272727273,0.96,0.5853658536585366,0.956314004,COMPLETE
46,0.7164179104477612,2026-04-14 12:01:08.145248,2026-04-14 12:01:11.928399,0 days 00:00:03.783151,0.026515651216471745,250,3,2,isotonic,500,5,2,0.7164179104477612,0.9230769230769231,0.5853658536585366,0.9654350817,COMPLETE
47,0.7272727272727273,2026-04-14 12:01:11.928615,2026-04-14 12:01:15.599147,0 days 00:00:03.670532,0.005130200392535257,100,1,2,isotonic,400,4,2,0.7272727272727273,0.96,0.5853658536585366,0.9592200841,COMPLETE
48,0.7272727272727273,2026-04-14 12:01:15.599349,2026-04-14 12:01:25.308166,0 days 00:00:09.708817,0.3023886080722491,150,3,1,sigmoid,600,5,2,0.7272727272727273,0.96,0.5853658536585366,0.9916726898,COMPLETE
49,0.782608695652174,2026-04-14 12:01:25.308428,2026-04-14 12:01:26.943921,0 days 00:00:01.635493,0.0014137744308099628,150,1,2,isotonic,300,2,1,0.782608695652174,0.9642857142857143,0.6585365853658537,0.7622434465,COMPLETE
50,0.7714285714285715,2026-04-14 12:01:26.944124,2026-04-14 12:01:28.427193,0 days 00:00:01.483069,0.0013223436384387722,200,1,2,isotonic,200,2,1,0.7714285714285715,0.9310344827586207,0.6585365853658537,0.784594882,COMPLETE
51,0.782608695652174,2026-04-14 12:01:28.427382,2026-04-14 12:01:29.888624,0 days 00:00:01.461242,0.0015875613980932107,150,1,2,isotonic,300,2,1,0.782608695652174,0.9642857142857143,0.6585365853658537,0.8345932582,COMPLETE
52,0.7428571428571429,2026-04-14 12:01:29.888829,2026-04-14 12:01:31.519575,0 days 00:00:01.630746,0.002734374073402891,150,1,2,isotonic,300,2,1,0.7428571428571429,0.896551724137931,0.6341463414634146,0.7899489527,COMPLETE
53,0.7605633802816901,2026-04-14 12:01:31.519902,2026-04-14 12:01:33.108410,0 days 00:00:01.588508,0.0013558943375401376,150,1,2,isotonic,200,2,1,0.7605633802816901,0.9,0.6585365853658537,0.7618548781,COMPLETE
54,0.7272727272727273,2026-04-14 12:01:33.108596,2026-04-14 12:01:34.697890,0 days 00:00:01.589294,0.009403177827358635,200,1,2,isotonic,300,2,1,0.7272727272727273,0.96,0.5853658536585366,0.9592200841,COMPLETE
55,0.7352941176470589,2026-04-14 12:01:34.698181,2026-04-14 12:01:36.398924,0 days 00:00:01.700743,0.00419170851343396,150,1,2,isotonic,300,2,1,0.7352941176470589,0.9259259259259259,0.6097560975609756,0.8180354267,COMPLETE
56,0.7536231884057971,2026-04-14 12:01:36.399126,2026-04-14 12:01:38.120062,0 days 00:00:01.720936,0.0024697741518237555,250,1,2,isotonic,200,3,1,0.7536231884057971,0.9285714285714286,0.6341463414634146,0.8607547726,COMPLETE
57,0.7714285714285715,2026-04-14 12:01:38.120309,2026-04-14 12:01:39.628565,0 days 00:00:01.508256,0.001066894789442748,200,1,1,isotonic,300,2,1,0.7714285714285715,0.9310344827586207,0.6585365853658537,0.7799748774,COMPLETE
58,0.7272727272727273,2026-04-14 12:01:39.628761,2026-04-14 12:01:46.319440,0 days 00:00:06.690679,0.001937512705217695,150,1,2,sigmoid,600,3,1,0.7272727272727273,0.96,0.5853658536585366,0.7689249453,COMPLETE
59,0.7272727272727273,2026-04-14 12:01:46.319634,2026-04-14 12:01:47.848119,0 days 00:00:01.528485,0.007705050063438792,300,1,2,isotonic,500,2,1,0.7272727272727273,0.96,0.5853658536585366,0.9592200841,COMPLETE
