number,value,datetime_start,datetime_complete,duration,params_C,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_calibration_method,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
0,0.8285714285714286,2026-04-14 11:49:08.635420,2026-04-14 11:49:17.883831,0 days 00:00:09.248411,0.003125022446690782,200,2,1,sigmoid,300,3,2,0.8285714285714286,1.0,0.7073170731707317,0.6620674913,COMPLETE
1,0.7407407407407407,2026-04-14 11:49:17.884080,2026-04-14 11:49:26.313419,0 days 00:00:08.429339,1.4317705710054758,100,2,1,isotonic,300,2,2,0.7407407407407407,0.75,0.7317073170731707,0.1296755073,COMPLETE
2,0.8285714285714286,2026-04-14 11:49:26.313634,2026-04-14 11:49:29.522207,0 days 00:00:03.208573,0.002136626311598281,150,3,1,isotonic,800,3,2,0.8285714285714286,1.0,0.7073170731707317,0.8860877684,COMPLETE
3,0.7567567567567568,2026-04-14 11:49:29.522588,2026-04-14 11:49:46.310822,0 days 00:00:16.788234,7.218515636551838,200,3,2,sigmoid,200,4,1,0.7567567567567568,0.8484848484848485,0.6829268292682927,0.4535661104,COMPLETE
4,0.7671232876712328,2026-04-14 11:49:46.311058,2026-04-14 11:50:04.692001,0 days 00:00:18.380943,8.214775129117118,300,3,2,sigmoid,300,5,1,0.7671232876712328,0.875,0.6829268292682927,0.4541903305,COMPLETE
5,0.8,2026-04-14 11:50:04.692299,2026-04-14 11:50:13.816526,0 days 00:00:09.124227,0.015317453265112156,150,2,1,sigmoid,400,5,2,0.8,0.9655172413793104,0.6829268292682927,0.6662796869,COMPLETE
6,0.7297297297297297,2026-04-14 11:50:13.816749,2026-04-14 11:50:18.061327,0 days 00:00:04.244578,1.3390511288259555,100,1,2,isotonic,600,4,2,0.7297297297297297,0.8181818181818182,0.6585365853658537,0.3333333333,COMPLETE
7,0.7837837837837838,2026-04-14 11:50:18.061553,2026-04-14 11:50:24.899932,0 days 00:00:06.838379,0.01773086756182344,100,2,1,sigmoid,300,3,1,0.7837837837837838,0.8787878787878788,0.7073170731707317,0.5006780825,COMPLETE
8,0.7631578947368421,2026-04-14 11:50:24.900203,2026-04-14 11:50:40.285071,0 days 00:00:15.384868,1.6450679116792954,300,1,2,sigmoid,200,5,2,0.7631578947368421,0.8285714285714286,0.7073170731707317,0.3664076193,COMPLETE
9,0.7567567567567568,2026-04-14 11:50:40.285443,2026-04-14 11:50:47.833463,0 days 00:00:07.548020,14.198787771660154,200,1,2,sigmoid,500,3,1,0.7567567567567568,0.8484848484848485,0.6829268292682927,0.530660876,COMPLETE
