number,value,datetime_start,datetime_complete,duration,params_C,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_calibration_method,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
0,0.4155844155844156,2026-04-14 12:03:14.395968,2026-04-14 12:03:25.986686,0 days 00:00:11.590718,17.937759028671657,50,1,1,sigmoid,200,3,1,0.4155844155844156,0.27350427350427353,0.8648648648648649,0.0468388765,COMPLETE
1,0.43333333333333335,2026-04-14 12:03:25.986883,2026-04-14 12:03:36.145851,0 days 00:00:10.158968,0.49937919661903607,100,3,2,sigmoid,800,3,2,0.43333333333333335,0.3132530120481928,0.7027027027027027,0.0763331534,COMPLETE
2,0.13953488372093023,2026-04-14 12:03:36.146086,2026-04-14 12:03:37.923126,0 days 00:00:01.777040,0.07847594725847949,100,2,2,isotonic,200,2,1,0.13953488372093023,0.5,0.08108108108108109,0.9273005943,COMPLETE
3,0.6233766233766234,2026-04-14 12:03:37.923464,2026-04-14 12:03:46.107015,0 days 00:00:08.183551,0.002092194966332121,150,3,1,sigmoid,600,2,2,0.6233766233766234,0.6,0.6486486486486487,0.3559938901,COMPLETE
4,0.36923076923076925,2026-04-14 12:03:46.107230,2026-04-14 12:03:52.863128,0 days 00:00:06.755898,0.0930560966184573,250,2,1,sigmoid,200,4,1,0.36923076923076925,0.25806451612903225,0.6486486486486487,0.0537621183,COMPLETE
5,0.4482758620689655,2026-04-14 12:03:52.863366,2026-04-14 12:04:01.173078,0 days 00:00:08.309712,6.544669760034601,100,3,2,sigmoid,700,2,1,0.4482758620689655,0.3291139240506329,0.7027027027027027,0.0825028041,COMPLETE
6,0.1702127659574468,2026-04-14 12:04:01.173316,2026-04-14 12:04:02.629279,0 days 00:00:01.455963,0.012502784777153643,150,1,1,isotonic,600,3,1,0.1702127659574468,0.4,0.10810810810810811,0.5170997598,COMPLETE
7,0.4148148148148148,2026-04-14 12:04:02.629648,2026-04-14 12:04:12.374371,0 days 00:00:09.744723,0.6215249311434836,50,2,2,sigmoid,300,3,1,0.4148148148148148,0.2857142857142857,0.7567567567567568,0.0566048144,COMPLETE
8,0.14705882352941177,2026-04-14 12:04:12.374613,2026-04-14 12:04:19.662262,0 days 00:00:07.287649,6.082811636304563,50,1,1,isotonic,600,5,2,0.14705882352941177,0.16129032258064516,0.13513513513513514,0.026661542,COMPLETE
9,0.38095238095238093,2026-04-14 12:04:19.662488,2026-04-14 12:04:30.338894,0 days 00:00:10.676406,0.0816629177652669,250,1,2,sigmoid,800,5,2,0.38095238095238093,0.2696629213483146,0.6486486486486487,0.0595429796,COMPLETE
10,0.49557522123893805,2026-04-14 12:04:30.339099,2026-04-14 12:04:34.728828,0 days 00:00:04.389729,0.0015530813543167578,300,3,1,isotonic,400,2,2,0.49557522123893805,0.3684210526315789,0.7567567567567568,0.1652489803,COMPLETE
