number,value,datetime_start,datetime_complete,duration,params_C,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_calibration_method,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
0,0.7692307692307693,2026-04-14 12:22:02.191383,2026-04-14 12:22:11.006786,0 days 00:00:08.815403,0.003076927914165972,200,2,2,sigmoid,400,4,2,0.7692307692307693,1.0,0.625,0.7028087529,COMPLETE
1,0.7575757575757576,2026-04-14 12:22:11.006987,2026-04-14 12:22:19.910368,0 days 00:00:08.903381,0.011503934211886052,100,1,2,sigmoid,200,3,2,0.7575757575757576,0.9615384615384616,0.625,0.6779145695,COMPLETE
2,0.7692307692307693,2026-04-14 12:22:19.910615,2026-04-14 12:22:21.345551,0 days 00:00:01.434936,0.01462980379711415,300,3,2,isotonic,200,4,1,0.7692307692307693,1.0,0.625,0.770785431,COMPLETE
3,0.6857142857142857,2026-04-14 12:22:21.345752,2026-04-14 12:22:29.383549,0 days 00:00:08.037797,10.531184413629537,300,2,2,sigmoid,500,3,1,0.6857142857142857,0.8,0.6,0.7189826781,COMPLETE
4,0.6875,2026-04-14 12:22:29.383845,2026-04-14 12:22:37.058762,0 days 00:00:07.674917,1.5996761536699122,100,2,1,isotonic,500,4,1,0.6875,0.9166666666666666,0.55,0.9001159728,COMPLETE
5,0.746268656716418,2026-04-14 12:22:37.058994,2026-04-14 12:22:40.849056,0 days 00:00:03.790062,0.047145361100700986,100,1,2,isotonic,300,4,2,0.746268656716418,0.9259259259259259,0.625,0.928193252,COMPLETE
6,0.7692307692307693,2026-04-14 12:22:40.849252,2026-04-14 12:22:49.529803,0 days 00:00:08.680551,0.0027934488679012986,200,1,2,sigmoid,200,4,2,0.7692307692307693,1.0,0.625,0.9768655107,COMPLETE
7,0.7692307692307693,2026-04-14 12:22:49.530001,2026-04-14 12:22:55.906047,0 days 00:00:06.376046,0.0017941797755665315,150,3,2,sigmoid,300,5,1,0.7692307692307693,1.0,0.625,0.9847025644,COMPLETE
8,0.6944444444444444,2026-04-14 12:22:55.906285,2026-04-14 12:23:11.268084,0 days 00:00:15.361799,2.1427285597552514,200,2,2,sigmoid,400,3,2,0.6944444444444444,0.78125,0.625,0.6533685838,COMPLETE
9,0.704225352112676,2026-04-14 12:23:11.268413,2026-04-14 12:23:22.919563,0 days 00:00:11.651150,0.3885004859526462,100,2,2,sigmoid,500,5,2,0.704225352112676,0.8064516129032258,0.625,0.6567128078,COMPLETE
10,0.7246376811594203,2026-04-14 12:23:22.919910,2026-04-14 12:23:26.623511,0 days 00:00:03.703601,0.12787362009876743,250,3,1,isotonic,700,2,2,0.7246376811594203,0.8620689655172413,0.625,0.670041926,COMPLETE
11,0.7692307692307693,2026-04-14 12:23:26.623711,2026-04-14 12:23:28.036926,0 days 00:00:01.413215,0.016946665554713025,300,3,1,isotonic,700,4,1,0.7692307692307693,1.0,0.625,0.9288970157,COMPLETE
12,0.7692307692307693,2026-04-14 12:23:28.037201,2026-04-14 12:23:29.472668,0 days 00:00:01.435467,0.0068593689570129145,250,3,2,isotonic,300,5,1,0.7692307692307693,1.0,0.625,0.766192702,COMPLETE
13,0.746268656716418,2026-04-14 12:23:29.472868,2026-04-14 12:23:30.944291,0 days 00:00:01.471423,0.04171101890881051,250,2,2,isotonic,800,2,1,0.746268656716418,0.9259259259259259,0.625,0.9150607846,COMPLETE
14,0.7692307692307693,2026-04-14 12:23:30.944493,2026-04-14 12:23:37.168092,0 days 00:00:06.223599,0.0012625214959267703,50,3,1,sigmoid,400,4,1,0.7692307692307693,1.0,0.625,0.9839587846,COMPLETE
15,0.7692307692307693,2026-04-14 12:23:37.168306,2026-04-14 12:23:41.069385,0 days 00:00:03.901079,0.005563870258035542,300,2,2,isotonic,200,3,2,0.7692307692307693,1.0,0.625,0.9497727103,COMPLETE
16,0.746268656716418,2026-04-14 12:23:41.069585,2026-04-14 12:23:47.806551,0 days 00:00:06.736966,0.030376543918886282,200,2,2,sigmoid,400,5,1,0.746268656716418,0.9259259259259259,0.625,0.7883593734,COMPLETE
17,0.7246376811594203,2026-04-14 12:23:47.806754,2026-04-14 12:23:51.313569,0 days 00:00:03.506815,0.19007817720916217,150,3,1,isotonic,600,4,2,0.7246376811594203,0.8620689655172413,0.625,0.6224315194,COMPLETE
18,0.7692307692307693,2026-04-14 12:23:51.313820,2026-04-14 12:23:59.368964,0 days 00:00:08.055144,0.00432189316892246,250,1,2,sigmoid,300,3,2,0.7692307692307693,1.0,0.625,0.9594753194,COMPLETE
19,0.7352941176470589,2026-04-14 12:23:59.369171,2026-04-14 12:24:01.101903,0 days 00:00:01.732732,0.08239162970992672,300,2,2,isotonic,200,5,1,0.7352941176470589,0.8928571428571429,0.625,0.7970591348,COMPLETE
20,0.7692307692307693,2026-04-14 12:24:01.102096,2026-04-14 12:24:02.574721,0 days 00:00:01.472625,0.014652392808482184,150,3,1,isotonic,400,4,1,0.7692307692307693,1.0,0.625,0.9330222568,COMPLETE
21,0.7575757575757576,2026-04-14 12:24:02.575161,2026-04-14 12:24:11.261743,0 days 00:00:08.686582,0.002412561095274305,200,1,2,sigmoid,200,4,2,0.7575757575757576,0.9615384615384616,0.625,0.7195367027,COMPLETE
22,0.7575757575757576,2026-04-14 12:24:11.261982,2026-04-14 12:24:20.759994,0 days 00:00:09.498012,0.0010478611767124597,200,1,2,sigmoid,300,4,2,0.7575757575757576,0.9615384615384616,0.625,0.8817383949,COMPLETE
23,0.7692307692307693,2026-04-14 12:24:20.760216,2026-04-14 12:24:29.193675,0 days 00:00:08.433459,0.0034447964071875436,250,1,2,sigmoid,200,4,2,0.7692307692307693,1.0,0.625,0.9703446118,COMPLETE
24,0.7692307692307693,2026-04-14 12:24:29.193903,2026-04-14 12:24:37.699586,0 days 00:00:08.505683,0.008512497916406627,200,1,2,sigmoid,600,3,2,0.7692307692307693,1.0,0.625,0.9216354515,COMPLETE
25,0.7692307692307693,2026-04-14 12:24:37.699812,2026-04-14 12:24:45.853129,0 days 00:00:08.153317,0.002360720241281397,150,2,2,sigmoid,300,4,2,0.7692307692307693,1.0,0.625,0.7196074054,COMPLETE
26,0.7575757575757576,2026-04-14 12:24:45.853332,2026-04-14 12:24:53.862084,0 days 00:00:08.008752,0.022728349478160655,50,3,2,sigmoid,200,5,2,0.7575757575757576,0.9615384615384616,0.625,0.8717133054,COMPLETE
27,0.7692307692307693,2026-04-14 12:24:53.862283,2026-04-14 12:25:01.881221,0 days 00:00:08.018938,0.004165543607634804,250,1,2,sigmoid,400,4,2,0.7692307692307693,1.0,0.625,0.6896543036,COMPLETE
28,0.7692307692307693,2026-04-14 12:25:01.881421,2026-04-14 12:25:03.396343,0 days 00:00:01.514922,0.009177127954418041,200,2,2,isotonic,600,3,1,0.7692307692307693,1.0,0.625,0.9550389742,COMPLETE
29,0.7575757575757576,2026-04-14 12:25:03.396552,2026-04-14 12:25:11.364044,0 days 00:00:07.967492,0.011727238238502594,300,1,2,sigmoid,200,3,2,0.7575757575757576,0.9615384615384616,0.625,0.6859588417,COMPLETE
