number,value,datetime_start,datetime_complete,duration,params_C,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_calibration_method,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
30,0.6944444444444444,2026-04-14 12:25:11.364246,2026-04-14 12:25:21.884743,0 days 00:00:10.520497,0.5537127390416453,150,2,2,sigmoid,300,5,2,0.6944444444444444,0.78125,0.625,0.6650747024,COMPLETE
31,0.7692307692307693,2026-04-14 12:25:21.884959,2026-04-14 12:25:28.006567,0 days 00:00:06.121608,0.0017555122143845493,150,3,2,sigmoid,300,5,1,0.7692307692307693,1.0,0.625,0.9847828535,COMPLETE
32,0.7692307692307693,2026-04-14 12:25:28.006804,2026-04-14 12:25:34.042208,0 days 00:00:06.035404,0.0021743617309330486,100,3,2,sigmoid,200,5,1,0.7692307692307693,1.0,0.625,0.9823605262,COMPLETE
33,0.7692307692307693,2026-04-14 12:25:34.042432,2026-04-14 12:25:39.868419,0 days 00:00:05.825987,0.001020958351730185,150,3,2,sigmoid,300,4,1,0.7692307692307693,1.0,0.625,0.9826367109,COMPLETE
34,0.7692307692307693,2026-04-14 12:25:39.868627,2026-04-14 12:25:45.876677,0 days 00:00:06.008050,0.00331457561996249,100,3,2,sigmoid,400,4,1,0.7692307692307693,1.0,0.625,0.9726829345,COMPLETE
35,0.7164179104477612,2026-04-14 12:25:45.876876,2026-04-14 12:26:00.576027,0 days 00:00:14.699151,8.191534831742107,200,3,2,sigmoid,200,5,1,0.7164179104477612,0.8888888888888888,0.6,0.6902188829,COMPLETE
36,0.7692307692307693,2026-04-14 12:26:00.576218,2026-04-14 12:26:07.925243,0 days 00:00:07.349025,0.006425102246747155,150,2,2,sigmoid,500,4,1,0.7692307692307693,1.0,0.625,0.9437460669,COMPLETE
37,0.7878787878787878,2026-04-14 12:26:07.925445,2026-04-14 12:26:09.369519,0 days 00:00:01.444074,0.0016186944571148609,200,2,2,isotonic,300,2,1,0.7878787878787878,1.0,0.65,0.8272720505,COMPLETE
38,0.746268656716418,2026-04-14 12:26:09.369721,2026-04-14 12:26:13.050583,0 days 00:00:03.680862,0.05093108800152774,250,2,1,isotonic,300,2,2,0.746268656716418,0.9259259259259259,0.625,0.9080525626,COMPLETE
39,0.7714285714285715,2026-04-14 12:26:13.050791,2026-04-14 12:26:14.525044,0 days 00:00:01.474253,0.0030940196770378905,200,2,2,isotonic,500,2,1,0.7714285714285715,0.9,0.675,0.7020775147,COMPLETE
40,0.7575757575757576,2026-04-14 12:26:14.525260,2026-04-14 12:26:15.974194,0 days 00:00:01.448934,0.019002811936210187,200,2,2,isotonic,500,2,1,0.7575757575757576,0.9615384615384616,0.625,0.9549675155,COMPLETE
41,0.7761194029850746,2026-04-14 12:26:15.974418,2026-04-14 12:26:17.370219,0 days 00:00:01.395801,0.001648053862042644,200,2,2,isotonic,400,2,1,0.7761194029850746,0.9629629629629629,0.65,0.7701149425,COMPLETE
42,0.7878787878787878,2026-04-14 12:26:17.370415,2026-04-14 12:26:18.806564,0 days 00:00:01.436149,0.0021498959321997577,200,2,2,isotonic,500,2,1,0.7878787878787878,1.0,0.65,0.8653563926,COMPLETE
43,0.7761194029850746,2026-04-14 12:26:18.806765,2026-04-14 12:26:20.242027,0 days 00:00:01.435262,0.0015661071538281132,200,2,2,isotonic,500,2,1,0.7761194029850746,0.9629629629629629,0.65,0.7798742138,COMPLETE
44,0.7878787878787878,2026-04-14 12:26:20.242226,2026-04-14 12:26:21.723495,0 days 00:00:01.481269,0.0014903697661467245,200,2,2,isotonic,500,2,1,0.7878787878787878,1.0,0.65,0.8250190612,COMPLETE
45,0.7878787878787878,2026-04-14 12:26:21.723713,2026-04-14 12:26:23.340161,0 days 00:00:01.616448,0.0013573262923082428,200,2,2,isotonic,500,2,1,0.7878787878787878,1.0,0.65,0.8143696581,COMPLETE
46,0.7761194029850746,2026-04-14 12:26:23.340390,2026-04-14 12:26:24.949154,0 days 00:00:01.608764,0.0014255471749123833,250,2,2,isotonic,600,2,1,0.7761194029850746,0.9629629629629629,0.65,0.7798742138,COMPLETE
47,0.7878787878787878,2026-04-14 12:26:24.949353,2026-04-14 12:26:26.373461,0 days 00:00:01.424108,0.0018490307868061179,200,2,2,isotonic,500,2,1,0.7878787878787878,1.0,0.65,0.8244094644,COMPLETE
48,0.7692307692307693,2026-04-14 12:26:26.373705,2026-04-14 12:26:27.831883,0 days 00:00:01.458178,0.0051035485747301474,200,2,2,isotonic,500,2,1,0.7692307692307693,1.0,0.625,0.9497727103,COMPLETE
49,0.7761194029850746,2026-04-14 12:26:27.832083,2026-04-14 12:26:29.355930,0 days 00:00:01.523847,0.0010570841016681227,250,2,2,isotonic,700,2,1,0.7761194029850746,0.9629629629629629,0.65,0.7668703395,COMPLETE
50,0.7692307692307693,2026-04-14 12:26:29.356199,2026-04-14 12:26:30.822625,0 days 00:00:01.466426,0.0024132733224438638,200,2,2,isotonic,600,2,1,0.7692307692307693,1.0,0.625,0.8184490407,COMPLETE
51,0.7761194029850746,2026-04-14 12:26:30.822824,2026-04-14 12:26:32.221089,0 days 00:00:01.398265,0.0015789662550116192,200,2,2,isotonic,500,2,1,0.7761194029850746,0.9629629629629629,0.65,0.7798742138,COMPLETE
52,0.7878787878787878,2026-04-14 12:26:32.221294,2026-04-14 12:26:33.588820,0 days 00:00:01.367526,0.0019371288431282825,200,2,2,isotonic,400,2,1,0.7878787878787878,1.0,0.65,0.8225679788,COMPLETE
53,0.7692307692307693,2026-04-14 12:26:33.589190,2026-04-14 12:26:35.144285,0 days 00:00:01.555095,0.003906800593401509,200,2,2,isotonic,500,2,1,0.7692307692307693,1.0,0.625,0.9496971091,COMPLETE
54,0.7761194029850746,2026-04-14 12:26:35.144487,2026-04-14 12:26:36.739818,0 days 00:00:01.595331,0.0022410362783920894,200,2,2,isotonic,400,2,1,0.7761194029850746,0.9629629629629629,0.65,0.7548005847,COMPLETE
55,0.7692307692307693,2026-04-14 12:26:36.740163,2026-04-14 12:26:38.728767,0 days 00:00:01.988604,0.007196575633212752,250,2,2,isotonic,600,2,1,0.7692307692307693,1.0,0.625,0.9549675155,COMPLETE
56,0.7692307692307693,2026-04-14 12:26:38.728973,2026-04-14 12:26:40.802075,0 days 00:00:02.073102,0.0010022391731523764,150,2,2,isotonic,500,2,1,0.7692307692307693,1.0,0.625,0.9566657502,COMPLETE
57,0.704225352112676,2026-04-14 12:26:40.802340,2026-04-14 12:26:47.236350,0 days 00:00:06.434010,19.471232950883074,200,2,1,isotonic,400,2,1,0.704225352112676,0.8064516129032258,0.625,0.6015893303,COMPLETE
58,0.7714285714285715,2026-04-14 12:26:47.236552,2026-04-14 12:26:48.814960,0 days 00:00:01.578408,0.0032745713934440863,250,2,2,isotonic,500,3,1,0.7714285714285715,0.9,0.675,0.7276338556,COMPLETE
59,0.7692307692307693,2026-04-14 12:26:48.815225,2026-04-14 12:26:50.339287,0 days 00:00:01.524062,0.004841740601413924,200,2,2,isotonic,400,2,1,0.7692307692307693,1.0,0.625,0.9497727103,COMPLETE
60,0.7878787878787878,2026-04-14 12:26:50.339470,2026-04-14 12:26:51.902088,0 days 00:00:01.562618,0.0017564889867997444,150,2,2,isotonic,600,2,1,0.7878787878787878,1.0,0.65,0.8316675709,COMPLETE
61,0.7761194029850746,2026-04-14 12:26:51.902284,2026-04-14 12:26:53.508840,0 days 00:00:01.606556,0.0014362379700903238,150,2,2,isotonic,600,2,1,0.7761194029850746,0.9629629629629629,0.65,0.7798742138,COMPLETE
62,0.7878787878787878,2026-04-14 12:26:53.509046,2026-04-14 12:26:55.398250,0 days 00:00:01.889204,0.0021021860544802864,150,2,2,isotonic,600,2,1,0.7878787878787878,1.0,0.65,0.8653563926,COMPLETE
63,0.7575757575757576,2026-04-14 12:26:55.398471,2026-04-14 12:26:57.696550,0 days 00:00:02.298079,0.002554338935437377,200,2,2,isotonic,700,2,1,0.7575757575757576,0.9615384615384616,0.625,0.8238490819,COMPLETE
64,0.7692307692307693,2026-04-14 12:26:57.696761,2026-04-14 12:26:59.892613,0 days 00:00:02.195852,0.011315185825503607,200,2,2,isotonic,500,2,1,0.7692307692307693,1.0,0.625,0.6666666667,COMPLETE
65,0.704225352112676,2026-04-14 12:26:59.892878,2026-04-14 12:27:08.761583,0 days 00:00:08.868705,1.531146357961833,150,2,2,isotonic,500,2,1,0.704225352112676,0.8064516129032258,0.625,0.5384615385,COMPLETE
66,0.7647058823529411,2026-04-14 12:27:08.761909,2026-04-14 12:27:10.808624,0 days 00:00:02.046715,0.0058146695205842786,200,2,2,isotonic,500,2,1,0.7647058823529411,0.9285714285714286,0.65,0.6803529401,COMPLETE
67,0.7878787878787878,2026-04-14 12:27:10.808834,2026-04-14 12:27:12.335171,0 days 00:00:01.526337,0.0017931231949630724,150,2,2,isotonic,700,3,1,0.7878787878787878,1.0,0.65,0.8332682186,COMPLETE
68,0.7692307692307693,2026-04-14 12:27:12.335365,2026-04-14 12:27:13.720596,0 days 00:00:01.385231,0.004030274728031269,200,2,2,isotonic,400,3,1,0.7692307692307693,1.0,0.625,0.9496971091,COMPLETE
69,0.7878787878787878,2026-04-14 12:27:13.720799,2026-04-14 12:27:15.269131,0 days 00:00:01.548332,0.0012730943573219062,200,2,2,isotonic,600,2,1,0.7878787878787878,1.0,0.65,0.7916666667,COMPLETE
70,0.7761194029850746,2026-04-14 12:27:15.269326,2026-04-14 12:27:16.760908,0 days 00:00:01.491582,0.002888920119428893,150,2,2,isotonic,800,2,1,0.7761194029850746,0.9629629629629629,0.65,0.7448851852,COMPLETE
71,0.7878787878787878,2026-04-14 12:27:16.761130,2026-04-14 12:27:18.517410,0 days 00:00:01.756280,0.00199588375028926,150,2,2,isotonic,600,2,1,0.7878787878787878,1.0,0.65,0.8653563926,COMPLETE
72,0.7878787878787878,2026-04-14 12:27:18.517627,2026-04-14 12:27:20.165604,0 days 00:00:01.647977,0.0020257514115789394,150,2,2,isotonic,600,2,1,0.7878787878787878,1.0,0.65,0.8653563926,COMPLETE
73,0.7878787878787878,2026-04-14 12:27:20.165808,2026-04-14 12:27:21.714232,0 days 00:00:01.548424,0.0012242921213827566,150,2,2,isotonic,600,2,1,0.7878787878787878,1.0,0.65,0.7916666667,COMPLETE
74,0.7692307692307693,2026-04-14 12:27:21.714625,2026-04-14 12:27:23.238239,0 days 00:00:01.523614,0.003277034053262083,200,2,2,isotonic,700,2,1,0.7692307692307693,1.0,0.625,0.9496971091,COMPLETE
75,0.7692307692307693,2026-04-14 12:27:23.238454,2026-04-14 12:27:24.889555,0 days 00:00:01.651101,0.007783558278173017,100,2,2,isotonic,500,2,1,0.7692307692307693,1.0,0.625,0.9550389742,COMPLETE
76,0.7575757575757576,2026-04-14 12:27:24.889764,2026-04-14 12:27:26.445398,0 days 00:00:01.555634,0.00267300223678807,200,2,2,isotonic,500,2,1,0.7575757575757576,0.9615384615384616,0.625,0.8198715824,COMPLETE
77,0.7878787878787878,2026-04-14 12:27:26.445597,2026-04-14 12:27:27.866283,0 days 00:00:01.420686,0.0017076986070893268,150,2,2,isotonic,600,2,1,0.7878787878787878,1.0,0.65,0.8293176341,COMPLETE
78,0.7164179104477612,2026-04-14 12:27:27.866497,2026-04-14 12:27:30.698624,0 days 00:00:02.832127,0.273826837461545,100,2,2,isotonic,400,3,1,0.7164179104477612,0.8888888888888888,0.6,0.7089993734,COMPLETE
79,0.7761194029850746,2026-04-14 12:27:30.698830,2026-04-14 12:27:32.279903,0 days 00:00:01.581073,0.001248349204101483,250,2,1,isotonic,500,2,1,0.7761194029850746,0.9629629629629629,0.65,0.7798742138,COMPLETE
