feature,coef,abs_coef
repo_is_fork,0.18594673229736416,0.18594673229736416
description_has_blockchain_keyword,-0.1605477618719161,0.1605477618719161
has_env_file,0.12322096604473697,0.12322096604473697
tfidf_aux::blockchain,-0.08912995519845213,0.08912995519845213
tfidf_aux::wallet,-0.07928898809068614,0.07928898809068614
topic_has_blockchain_keyword,-0.07593483158343516,0.07593483158343516
readme_has_install_run_commands,0.0738361851376754,0.0738361851376754
repo_age_days,-0.07324731572274597,0.07324731572274597
blockchain_keyword_count,-0.06925259137313675,0.06925259137313675
tfidf_aux::web3,-0.06808398446115305,0.06808398446115305
repo_name_has_blockchain_keyword,-0.06735074625959589,0.06735074625959589
tfidf_aux::ethereum,-0.06480662501314566,0.06480662501314566
topics_count,-0.06479797365752603,0.06479797365752603
tfidf_aux::bitcoin,-0.06340256608823826,0.06340256608823826
has_ci_workflows,-0.057662858673070874,0.057662858673070874
tfidf_aux::crypto,-0.057561384670162634,0.057561384670162634
tfidf_aux::smart,-0.05657964383738547,0.05657964383738547
has_readme_file,0.05646068614638681,0.05646068614638681
security_trust_keyword_count,0.05436377375410823,0.05436377375410823
tfidf_aux::defi,-0.05400890755608205,0.05400890755608205
tfidf_readme::contract,-0.05350469952768572,0.05350469952768572
hidden_file_ratio,-0.04923284828212684,0.04923284828212684
user_repo_creation_gap_days,0.04802639895263931,0.04802639895263931
has_email,0.04797190393101433,0.04797190393101433
days_since_last_push,-0.047570643065005296,0.047570643065005296
tfidf_readme::blockchain,-0.04716005877405096,0.04716005877405096
readme_has_sensitive_request_keywords,0.04595217861260315,0.04595217861260315
readme_has_airdrop_claim_keywords,0.04560120526675312,0.04560120526675312
time_to_last_push_days,-0.044932893348672606,0.044932893348672606
subscribers_count,0.04299454584495571,0.04299454584495571
wallet_keyword_count,-0.042957704129610655,0.042957704129610655
user_login_entropy,0.04273825387150422,0.04273825387150422
has_license_file,0.04253536713659838,0.04253536713659838
primary_language_is_javascript,-0.0414906130088578,0.0414906130088578
tfidf_aux::solidity,-0.041360291462208224,0.041360291462208224
wallet_frontend_risk_combo_flag,0.04045609489596293,0.04045609489596293
risky_keyword_count,-0.04032006130940893,0.04032006130940893
tfidf_aux::nft,-0.03999750908083258,0.03999750908083258
env_file_count,0.03967338179773077,0.03967338179773077
tfidf_aux::contract,-0.03949228508166212,0.03949228508166212
watch_to_star_ratio,0.039386508010357486,0.039386508010357486
has_test_dir,-0.039355606936221935,0.039355606936221935
tfidf_readme::wallet,-0.038504436004423,0.038504436004423
contract_test_ratio,-0.03849639903755153,0.03849639903755153
tfidf_aux::smart contract,-0.038027113217594194,0.038027113217594194
tfidf_readme::ethereum,-0.03797582303085896,0.03797582303085896
tfidf_readme::app,-0.03767115627372114,0.03767115627372114
has_hardhat_config,-0.03675383521023715,0.03675383521023715
tfidf_readme::contracts,-0.036746300836335725,0.036746300836335725
tfidf_readme::smart,-0.03650783003463627,0.03650783003463627
tfidf_aux::contracts,-0.036371230027584064,0.036371230027584064
default_branch_is_master,0.03582760052279005,0.03582760052279005
download_lure_keyword_count,0.03567016761060742,0.03567016761060742
tfidf_readme::bitcoin,-0.03491493622899861,0.03491493622899861
tfidf_readme::smart contract,-0.03461858813306244,0.03461858813306244
is_hireable,-0.03397177939425452,0.03397177939425452
tfidf_readme::nft,-0.033881629418641014,0.033881629418641014
very_short_activity_window_flag,0.03352048225285319,0.03352048225285319
tfidf_readme::network,-0.03344576042547378,0.03344576042547378
has_issues_enabled,-0.033408628376259346,0.033408628376259346
executable_file_count,-0.03312869183962023,0.03312869183962023
tfidf_aux::smart contracts,-0.03280196738906382,0.03280196738906382
tfidf_readme::run,-0.03254151305454092,0.03254151305454092
tfidf_aux::bot,0.03237945882047174,0.03237945882047174
primary_language_is_go,-0.03213413395127685,0.03213413395127685
primary_language_is_solidity,-0.031987461032518226,0.031987461032518226
user_login_length,0.031842294333308346,0.031842294333308346
has_go_mod,-0.03173465530180125,0.03173465530180125
contract_file_ratio,-0.03165135043227449,0.03165135043227449
tfidf_readme::deploy,-0.03162663753152199,0.03162663753152199
has_homepage,-0.031122574609727293,0.031122574609727293
repo_name_entropy,0.030666114195643183,0.030666114195643183
tfidf_readme::solidity,-0.030372216382463776,0.030372216382463776
tfidf_readme::create,-0.029433633310816523,0.029433633310816523
tfidf_readme::ai,0.028694159787797133,0.028694159787797133
tfidf_readme::address,-0.028474358562744908,0.028474358562744908
total_files_count,0.02833894118986668,0.02833894118986668
tfidf_readme::hardhat,-0.028038742615665954,0.028038742615665954
tfidf_readme::features,-0.027515806928899215,0.027515806928899215
tfidf_aux::wallets,-0.027260486394931442,0.027260486394931442
has_foundry_toml,-0.02718017247482229,0.02718017247482229
tfidf_readme::test,-0.02703447657565337,0.02703447657565337
top_level_dir_count,0.026915653604116366,0.026915653604116366
token_standard_keyword_count,-0.026748804069595376,0.026748804069595376
tfidf_readme::buy,0.026633448840216394,0.026633448840216394
is_stale_repo_flag,-0.026454004058307275,0.026454004058307275
tfidf_readme::sell,0.02640099457168935,0.02640099457168935
frontend_contract_combo_flag,0.02637965107266068,0.02637965107266068
user_type_is_org,-0.02636931845947201,0.02636931845947201
owner_repo_density,0.026094994788127844,0.026094994788127844
tfidf_readme::defi,-0.026016396374397985,0.026016396374397985
tfidf_readme::npx,-0.02573718157097731,0.02573718157097731
tfidf_readme::documentation,-0.025504391191904518,0.025504391191904518
tfidf_readme::web3,-0.025146014679602372,0.025146014679602372
tfidf_aux::platform,-0.02514181477159666,0.02514181477159666
