feature,feature_value,coefficient,contribution,abs_contribution
repo_is_fork,4.333764553070068,0.18594673229736416,0.8058493571895261,0.8058493571895261
has_env_file,1.7040581703186035,0.12322096604473697,0.20997569394308524,0.20997569394308524
has_issues_enabled,-3.3845272064208984,-0.033408628376259346,0.113072411668655,0.113072411668655
readme_has_airdrop_claim_keywords,2.4296555519104004,0.04560120526675312,0.1107952215501725,0.1107952215501725
readme_has_sensitive_request_keywords,2.012834310531616,0.04595217861260315,0.09249412175512474,0.09249412175512474
readme_has_install_run_commands,1.2264808416366577,0.0738361851376754,0.0905586664908962,0.0905586664908962
description_has_blockchain_keyword,0.5212916731834412,-0.1605477618719161,-0.08369221141206783,0.08369221141206783
user_login_entropy,1.9335594177246094,0.04273825387150422,0.08263695327035223,0.08263695327035223
topic_has_blockchain_keyword,-1.0443114042282104,-0.07593483158343516,0.07929961060072983,0.07929961060072983
repo_age_days,-0.9743305444717407,-0.07324731572274597,0.07136709700923657,0.07136709700923657
repo_name_has_blockchain_keyword,0.882773756980896,-0.06735074625959589,-0.059455471311050494,0.059455471311050494
user_login_length,1.855019450187683,0.031842294333308346,0.05906807532688803,0.05906807532688803
topics_count,-0.8286152482032776,-0.06479797365752603,0.05369258902530037,0.05369258902530037
security_trust_keyword_count,0.9591653347015381,0.05436377375410823,0.05214384724849792,0.05214384724849792
watch_to_star_ratio,-1.2813947200775146,0.039386508010357486,-0.05046966340676282,0.05046966340676282
very_short_activity_window_flag,1.4667214155197144,0.03352048225285319,0.04916520917880829,0.04916520917880829
download_lure_keyword_count,1.256687045097351,0.03567016761060742,0.04482623753270148,0.04482623753270148
has_license_file,0.9974544048309326,0.04253536713659838,0.04242708931150095,0.04242708931150095
has_email,-0.6851373910903931,0.04797190393101433,-0.03286734510493413,0.03286734510493413
days_since_last_push,-0.660724937915802,-0.047570643065005296,0.0314311101857404,0.0314311101857404
