feature,feature_value,coefficient,contribution,abs_contribution
repo_is_fork,4.333764553070068,0.18594673229736416,0.8058493571895261,0.8058493571895261
description_has_blockchain_keyword,-1.9183119535446167,-0.1605477618719161,0.3079806907137313,0.3079806907137313
owner_repo_density,6.3388895988464355,0.026094994788127844,0.16541329104441554,0.16541329104441554
user_login_entropy,-2.847695827484131,0.04273825387150422,-0.12170554722384007,0.12170554722384007
has_issues_enabled,-3.3845272064208984,-0.033408628376259346,0.113072411668655,0.113072411668655
blockchain_keyword_count,-1.1866482496261597,-0.06925259137313675,0.0821784663350084,0.0821784663350084
repo_age_days,-1.0868964195251465,-0.07324731572274597,0.07961224519888056,0.07961224519888056
topic_has_blockchain_keyword,-1.0443114042282104,-0.07593483158343516,0.07929961060072983,0.07929961060072983
repo_name_has_blockchain_keyword,-1.1327930688858032,-0.06735074625959589,0.07629445854715666,0.07629445854715666
has_env_file,-0.5868344306945801,0.12322096604473697,-0.0723103054584994,0.0723103054584994
has_email,1.4595613479614258,0.04797190393101433,0.0700179367658273,0.0700179367658273
readme_has_install_run_commands,-0.8153408765792847,0.0738361851376754,-0.060201659913422606,0.060201659913422606
topics_count,-0.8286152482032776,-0.06479797365752603,0.05369258902530037,0.05369258902530037
very_short_activity_window_flag,1.4667214155197144,0.03352048225285319,0.04916520917880829,0.04916520917880829
has_license_file,0.9974544048309326,0.04253536713659838,0.04242708931150095,0.04242708931150095
is_stale_repo_flag,-1.529381275177002,-0.026454004058307275,0.040458258460231565,0.040458258460231565
user_name_matches_login,1.5853807926177979,0.024983711922358102,0.039608697010002816,0.039608697010002816
days_since_last_push,-0.799681544303894,-0.047570643065005296,0.03804136530975276,0.03804136530975276
security_trust_keyword_count,-0.634253978729248,0.05436377375410823,-0.034480439802279814,0.034480439802279814
user_repo_creation_gap_days,-0.7128161191940308,0.04802639895263931,-0.03423399132028462,0.03423399132028462
