feature,feature_value,coefficient,contribution,abs_contribution
has_env_file,1.7040581703186035,0.12322096604473697,0.20997569394308524,0.20997569394308524
readme_has_install_run_commands,1.2264808416366577,0.0738361851376754,0.0905586664908962,0.0905586664908962
repo_age_days,-1.1805258989334106,-0.07324731572274597,0.08647035323805402,0.08647035323805402
description_has_blockchain_keyword,0.5212916731834412,-0.1605477618719161,-0.08369221141206783,0.08369221141206783
topic_has_blockchain_keyword,-1.0443114042282104,-0.07593483158343516,0.07929961060072983,0.07929961060072983
repo_name_has_blockchain_keyword,-1.1327930688858032,-0.06735074625959589,0.07629445854715666,0.07629445854715666
env_file_count,1.5584666728973389,0.03967338179773077,0.06182964333289532,0.06182964333289532
topics_count,-0.8286152482032776,-0.06479797365752603,0.05369258902530037,0.05369258902530037
watch_to_star_ratio,-1.2813947200775146,0.039386508010357486,-0.05046966340676282,0.05046966340676282
very_short_activity_window_flag,1.4667214155197144,0.03352048225285319,0.04916520917880829,0.04916520917880829
blockchain_keyword_count,-0.6557575464248657,-0.06925259137313675,0.04541290940241197,0.04541290940241197
primary_language_is_typescript,1.9428967237472534,-0.023299910655504862,-0.045269320076184116,0.045269320076184116
days_since_last_push,-0.9201106429100037,-0.047570643065005296,0.04377025497418433,0.04377025497418433
top_level_dir_count,1.6247680187225342,0.026915653604116366,0.043731693178982185,0.043731693178982185
repo_is_fork,-0.2307462990283966,0.18594673229736416,-0.0429065202940408,0.0429065202940408
has_license_file,0.9974544048309326,0.04253536713659838,0.04242708931150095,0.04242708931150095
is_stale_repo_flag,-1.529381275177002,-0.026454004058307275,0.040458258460231565,0.040458258460231565
security_trust_keyword_count,-0.634253978729248,0.05436377375410823,-0.034480439802279814,0.034480439802279814
has_email,-0.6851373910903931,0.04797190393101433,-0.03286734510493413,0.03286734510493413
has_ci_workflows,-0.5087470412254333,-0.057662858673070874,0.029335808738525124,0.029335808738525124
