feature,feature_value,coefficient,contribution,abs_contribution
has_env_file,1.7040581703186035,0.12322096604473697,0.20997569394308524,0.20997569394308524
readme_has_sensitive_request_keywords,2.012834310531616,0.04595217861260315,0.09249412175512474,0.09249412175512474
readme_has_install_run_commands,1.2264808416366577,0.0738361851376754,0.0905586664908962,0.0905586664908962
description_has_blockchain_keyword,0.5212916731834412,-0.1605477618719161,-0.08369221141206783,0.08369221141206783
user_login_entropy,1.7157546281814575,0.04273825387150422,0.07332835688042746,0.07332835688042746
topic_has_blockchain_keyword,0.9575687646865845,-0.07593483158343516,-0.07271282287603384,0.07271282287603384
repo_age_days,-0.989058792591095,-0.07324731572274597,0.07244590164927785,0.07244590164927785
repo_name_has_blockchain_keyword,0.882773756980896,-0.06735074625959589,-0.059455471311050494,0.059455471311050494
primary_language_is_typescript,1.9428967237472534,-0.023299910655504862,-0.045269320076184116,0.045269320076184116
repo_is_fork,-0.2307462990283966,0.18594673229736416,-0.0429065202940408,0.0429065202940408
has_license_file,0.9974544048309326,0.04253536713659838,0.04242708931150095,0.04242708931150095
user_login_length,1.2906620502471924,0.031842294333308346,0.04109764088880231,0.04109764088880231
days_since_last_push,-0.728218138217926,-0.047570643065005296,0.03464180512662765,0.03464180512662765
has_email,-0.6851373910903931,0.04797190393101433,-0.03286734510493413,0.03286734510493413
has_ci_workflows,-0.5087470412254333,-0.057662858673070874,0.029335808738525124,0.029335808738525124
risky_keyword_count,0.7067081928253174,-0.04032006130940893,-0.02849451766257839,0.02849451766257839
blockchain_keyword_count,0.40602391958236694,-0.06925259137313675,-0.028118208590556994,0.028118208590556994
has_package_lock_json,1.3412861824035645,-0.019367485184344856,-0.025977340265667507,0.025977340265667507
default_branch_is_master,-0.6671268939971924,0.03582760052279005,-0.02390155585614111,0.02390155585614111
hidden_file_ratio,0.4790647029876709,-0.04923284828212684,-0.023585719839514158,0.023585719839514158
