feature,feature_value,coefficient,contribution,abs_contribution
has_env_file,1.7040581703186035,0.12322096604473697,0.20997569394308524,0.20997569394308524
wallet_frontend_risk_combo_flag,3.098968267440796,0.04045609489596293,0.12537215430716267,0.12537215430716267
readme_has_sensitive_request_keywords,2.012834310531616,0.04595217861260315,0.09249412175512474,0.09249412175512474
description_has_blockchain_keyword,0.5212916731834412,-0.1605477618719161,-0.08369221141206783,0.08369221141206783
topic_has_blockchain_keyword,-1.0443114042282104,-0.07593483158343516,0.07929961060072983,0.07929961060072983
repo_age_days,-0.9690704941749573,-0.07324731572274597,0.07098181244443055,0.07098181244443055
has_cargo_toml,3.7030394077301025,-0.016349759997027282,-0.060543805575921227,0.060543805575921227
readme_has_install_run_commands,-0.8153408765792847,0.0738361851376754,-0.060201659913422606,0.060201659913422606
repo_name_has_blockchain_keyword,0.882773756980896,-0.06735074625959589,-0.059455471311050494,0.059455471311050494
topics_count,-0.8286152482032776,-0.06479797365752603,0.05369258902530037,0.05369258902530037
very_short_activity_window_flag,1.4667214155197144,0.03352048225285319,0.04916520917880829,0.04916520917880829
repo_is_fork,-0.2307462990283966,0.18594673229736416,-0.0429065202940408,0.0429065202940408
has_license_file,-1.0025520324707031,0.04253536713659838,-0.042643918774684264,0.042643918774684264
user_name_matches_login,1.5853807926177979,0.024983711922358102,0.039608697010002816,0.039608697010002816
has_email,-0.6851373910903931,0.04797190393101433,-0.03286734510493413,0.03286734510493413
days_since_last_push,-0.6554313898086548,-0.047570643065005296,0.031179292698187866,0.031179292698187866
has_ci_workflows,-0.5087470412254333,-0.057662858673070874,0.029335808738525124,0.029335808738525124
risky_keyword_count,0.7067081928253174,-0.04032006130940893,-0.02849451766257839,0.02849451766257839
repo_name_entropy,0.8900490999221802,0.030666114195643183,0.027294347337943007,0.027294347337943007
time_to_last_push_days,-0.5563201308250427,-0.044932893348672606,0.024997073106081236,0.024997073106081236
