feature,feature_value,coefficient,contribution,abs_contribution
repo_is_fork,4.333764553070068,0.18594673229736416,0.8058493571895261,0.8058493571895261
description_has_blockchain_keyword,-1.9183119535446167,-0.1605477618719161,0.3079806907137313,0.3079806907137313
has_env_file,1.7040581703186035,0.12322096604473697,0.20997569394308524,0.20997569394308524
has_issues_enabled,-3.3845272064208984,-0.033408628376259346,0.113072411668655,0.113072411668655
readme_has_install_run_commands,1.2264808416366577,0.0738361851376754,0.0905586664908962,0.0905586664908962
repo_age_days,-1.2005141973495483,-0.07324731572274597,0.08793444244290133,0.08793444244290133
security_trust_keyword_count,1.4903050661087036,0.05436377375410823,0.08101860743853487,0.08101860743853487
topic_has_blockchain_keyword,-1.0443114042282104,-0.07593483158343516,0.07929961060072983,0.07929961060072983
repo_name_has_blockchain_keyword,-1.1327930688858032,-0.06735074625959589,0.07629445854715666,0.07629445854715666
frontend_contract_combo_flag,2.4338302612304688,0.02637965107266068,0.06420359306134236,0.06420359306134236
env_file_count,1.5584666728973389,0.03967338179773077,0.06182964333289532,0.06182964333289532
topics_count,-0.8286152482032776,-0.06479797365752603,0.05369258902530037,0.05369258902530037
repo_name_entropy,-1.661051630973816,0.030666114195643183,-0.0509379990003024,0.0509379990003024
very_short_activity_window_flag,1.4667214155197144,0.03352048225285319,0.04916520917880829,0.04916520917880829
days_since_last_push,-0.9373147487640381,-0.047570643065005296,0.04458866535301917,0.04458866535301917
has_license_file,-1.0025520324707031,0.04253536713659838,-0.042643918774684264,0.042643918774684264
is_stale_repo_flag,-1.529381275177002,-0.026454004058307275,0.040458258460231565,0.040458258460231565
blockchain_keyword_count,-0.4787939786911011,-0.06925259137313675,0.033157723758213166,0.033157723758213166
has_email,-0.6851373910903931,0.04797190393101433,-0.03286734510493413,0.03286734510493413
hidden_file_ratio,-0.6620693802833557,-0.04923284828212684,0.03259556135173219,0.03259556135173219
