study_idx,trial_number,value,state,param__tfidf_max_features,param__tfidf_min_df,param__tfidf_ngram_range,param__real_pos_weight_mult,param__gen_pos_weight_mult,param__neg_weight_mult,param__n_estimators,param__learning_rate,param__max_depth,param__min_child_weight,param__subsample,param__colsample_bytree,param__reg_alpha,param__reg_lambda,param__gamma,param__max_delta_step,attr__val_best_threshold,attr__val_f1,attr__val_precision,attr__val_recall,attr__val_ap,attr__actual_w_real_pos,attr__actual_w_generated_pos,attr__actual_w_neg,attr__tfidf_vocab_size
0,0,1.02,TrialState.COMPLETE,550,1,"(1, 2)",1.7781056670396789,0.41693915790156144,1.9054514380117786,1100,0.018891200276189388,3,3,0.7216968971838151,0.762378215816119,7.71800699380605e-05,0.017888967192999938,3.0592644736118975,0.6974693032602092,0.6877043247,1.0,1.0,1.0,1.0,5.334317001119037,0.5211739473769518,1.9054514380117786,550
0,1,1.02,TrialState.COMPLETE,500,3,"(1, 3)",0.6786776766081324,0.4560202417378189,1.8420546870447072,1200,0.11265466963346032,4,2,0.8736932106048627,0.7200762468698007,1.254134495897175e-07,0.13482509766281273,0.17194260557609198,4.546602010393911,0.4916083217,1.0,1.0,1.0,0.9999999999999999,2.036033029824397,0.5700253021722737,1.8420546870447072,500
0,3,1.02,TrialState.COMPLETE,300,3,"(1, 2)",1.8460686352457158,1.8922076559131324,0.4506246885202636,500,0.014149761574941432,8,8,0.7323592099410596,0.5317791751430119,6.292756043818863e-06,0.0250393598794207,3.64803089169032,3.1877873567760657,0.8334108591,1.0,1.0,1.0,1.0,5.538205905737147,2.3652595698914154,0.4506246885202636,300
0,6,1.02,TrialState.COMPLETE,300,2,"(1, 2)",0.7850452906010253,1.0893887777574205,0.6491796610875912,500,0.011168401671455937,6,7,0.6205915004999957,0.6393232321183058,1.49414578394363,0.010724149943036814,0.7244743604561155,2.447263801387815,0.7017979026,1.0,1.0,1.0,1.0000000000000002,2.355135871803076,1.3617359721967757,0.6491796610875912,300
0,5,1.02,TrialState.COMPLETE,500,2,"(1, 3)",1.3141951020717808,2.0352585769708194,1.6920022301269089,500,0.013905315749737282,3,6,0.9272059063689972,0.9303652916281717,1.1549659339590204e-08,0.15730389220134705,2.087055015743895,1.1105390523536514,0.8072469234,1.0,1.0,1.0,1.0,3.942585306215342,2.544073221213524,1.6920022301269089,500
0,13,1.02,TrialState.COMPLETE,200,4,"(1, 2)",0.5743764576764617,1.0072131863484086,1.3504228589029945,1000,0.03487776753903612,3,3,0.7020228276855583,0.8162458204597013,0.002816522659723788,11.399413962934295,4.501074183915022,4.905419786649717,0.6112601757,1.0,1.0,1.0,1.0,1.7231293730293853,1.2590164829355108,1.3504228589029945,200
0,11,1.02,TrialState.COMPLETE,600,1,"(1, 3)",0.5064396105682599,0.6795924772105844,1.997702137052522,1200,0.15539296506360567,4,1,0.8068005390606677,0.7491340783908501,4.177495820062547e-08,0.3144223405775088,0.017194062426710954,3.6060222293083943,0.9630539417,1.0,1.0,1.0,1.0,1.5193188317047799,0.8494905965132304,1.997702137052522,600
0,10,1.02,TrialState.COMPLETE,750,1,"(1, 2)",2.6588597194381483,0.7480671566619724,1.1580116227192663,1200,0.0324035792610057,5,1,0.6522206236658292,0.8485779491700473,0.00653531288997317,0.0021390217524632693,4.931840999459098,1.7231495724818258,0.7341842055,1.0,1.0,1.0,1.0,7.976579158314445,0.9350839458274656,1.1580116227192663,750
0,9,1.02,TrialState.COMPLETE,1100,5,"(1, 1)",1.6416279420668067,0.40410031342170927,0.518155360835472,800,0.0794650948407619,6,3,0.8848716885390143,0.6186245437484,8.483934041619824e-06,1.624358647930942,3.2481644952360735,4.24611705247089,0.6897971034,1.0,1.0,1.0,1.0,4.92488382620042,0.5051253917771366,0.518155360835472,1100
0,29,1.02,TrialState.COMPLETE,450,1,"(1, 3)",2.409000186302154,1.251298377283819,1.7245299331963908,600,0.02084990134648037,2,8,0.7533380289448645,0.9978058002868975,0.12260798075356408,0.018967706060421065,1.2006163999776394,2.808393690669157,0.7325647473,1.0,1.0,1.0,1.0000000000000002,7.227000558906462,1.5641229716047738,1.7245299331963908,450
