branch,text_unit,base_prob,ablated_prob,prob_drop
AUX,used snipe new tokens pump.fun raydium profit.,0.9999990403443996,0.9999975527769086,1.487567490965347e-06
README,solana pumpfun bot listens new pump.fun raydium pools buys tokens fixed wsol.,0.9999990403443996,0.9999987143124777,3.260319219045016e-07
README,runtime environment terminal vscode.,0.9999990403443996,0.9999989460065208,9.433787873103228e-08
README,configure script updating .env.example file remove .example file 2.,0.9999990403443996,0.9999989467912628,9.355313679293431e-08
README,depending speed rpc node purchase usually happens token available ui swapping.,0.9999990403443996,0.9999989592143704,8.11300291392314e-08
README,rpc websocket endpoint websocket rpc endpoint 5.,0.9999990403443996,0.9999990053161376,3.502826195767028e-08
README,convert sol wsol trading.,0.9999990403443996,0.9999990096172658,3.072713372631597e-08
README,install node.js environment computer 3.,0.9999990403443996,0.9999990194644726,2.087992700960939e-08
README,download extract files use command git clone click green button select download zip 2.,0.9999990403443996,0.999999021194769,1.9149630547943275e-08
README,configuration example sol 0.1 wsol quote 0.01 adjust according situation.,0.9999990403443996,0.9999990246145808,1.5729818780840787e-08
README,config 1.,0.9999990403443996,0.9999990321330896,8.211309965311386e-09
README,wsol snipe auto-sell tp sl min liq burn lock check renounce check fast buy note provided learning purposes.,0.9999990403443996,0.9999990330741212,7.270278379323258e-09
README,check burned liquidity burn check 9.,0.9999990403443996,0.9999990403443996,0.0
README,commitment level modification required 8.,0.9999990403443996,0.9999990403443996,0.0
README,quote used buy new token 7.,0.9999990403443996,0.9999990403443996,0.0
README,quote mint use wsol default 6.,0.9999990403443996,0.9999990403443996,0.0
README,use snipe list buy tokens listed snipe-list.txt 11.,0.9999990403443996,0.9999990403443996,0.0
README,stop loss 30 16.,0.9999990403443996,0.9999990403443996,0.0
README,check mint renounced script buy mint renounced 13.,0.9999990403443996,0.9999990403443996,0.0
README,min pool size script buy pool size greater specified 14.,0.9999990403443996,0.9999990403443996,0.0
README,profit 50 15.,0.9999990403443996,0.9999990403443996,0.0
README,want generate don forget check birdeye api api key working bot functions tp sl min max liquidity work correctly work all.,0.9999990403443996,0.9999990403443996,0.0
README,birdeye api key tp sl burn lock use default link .env file works fine does need changed.,0.9999990403443996,0.9999990403443996,0.0
README,follow instructions errors.,0.9999990403443996,0.9999990403443996,0.0
README,snipe list refresh interval snipe list refreshed milliseconds 12.,0.9999990403443996,0.9999990403443996,0.0
README,want disable need 1.,0.9999990403443996,0.9999990403443996,0.0
README,update auto sell delay number milliseconds want wait selling token sell token specified delay.,0.9999990403443996,0.9999990403443996,0.0
README,update max sell retries set maximum number retries selling token 3.,0.9999990403443996,0.9999990403443996,0.0
README,change variable auto sell false 2.,0.9999990403443996,0.9999990403443996,0.0
README,install dependencies typing npm install 2.,0.9999990403443996,0.9999990403443996,0.0
README,run script typing npm run buy terminal profit note default 50 stop loss note default 30 auto sell default auto sell enabled.,0.9999990403443996,0.9999990403443996,0.0
README,install 1.,0.9999990403443996,0.9999990403443996,0.0
README,check locked liquidity lock check 10.,0.9999990403443996,0.9999990403443996,0.0
README,add token mint addresses wish buy snipe-list.txt file add address new line prevent script buying instead buy just listed tokens.,0.9999990403443996,0.9999990403443996,0.0
README,update list script running.,0.9999990403443996,0.9999990403443996,0.0
README,buy new pool open trading.,0.9999990403443996,0.9999990403443996,0.0
README,script check new values specified interval snipe list refresh interval pool exist script starts.,0.9999990403443996,0.9999990403443996,0.0
README,common issues important error listed create new issue repository.,0.9999990403443996,0.9999990403443996,0.0
README,collect information issue change log level debug transaction transactions solscan likely fix change commitment level finalized unsopported rpc node following error log file error 410 gone jsonrpc 2.0 error 410 message rpc parameters disabled.,0.9999990403443996,0.9999990403443996,0.0
README,id 986f3599-b2b7-47c4-b951-074c19842bad means rpc node doesn support methods needed execute script.,0.9999990403443996,0.9999990403443996,0.0
README,want buy token launched future make sure script running launch.,0.9999990403443996,0.9999990403443996,0.0
README,guarantee token sold profit sold all.,0.9999990403443996,0.9999990403443996,0.0
README,developer responsible losses incurred using feature.,0.9999990403443996,0.9999990403443996,0.0
README,snipe list default script buys token new liquidity pool created open trading.,0.9999990403443996,0.9999990403443996,0.0
README,scenarios want buy specific token soon possible launch event.,0.9999990403443996,0.9999990403443996,0.0
README,achieve ll use snipe list.,0.9999990403443996,0.9999990403443996,0.0
README,1.,0.9999990403443996,0.9999990403443996,0.0
README,change variable use snipe list true 2.,0.9999990403443996,0.9999990403443996,0.0
README,+- rpc node speed set auto sell delay token sold immediately bought.,0.9999990403443996,0.9999990403443996,0.0
README,fix change rpc node.,0.9999990403443996,0.9999990403443996,0.0
README,use shyft helius quicknode.,0.9999990403443996,0.9999990403443996,0.0
README,fix dex swap sol usdc wsol.,0.9999990403443996,0.9999990403443996,0.0
README,token account following error log file error sol token account wallet means wallet provided doesn usdc wsol token account.,0.9999990403443996,0.9999990403443996,0.0
README,swap sol wsol wallet.,0.9999990403443996,0.9999990403443996,0.0
README,contact program undergone multiple audits tests demonstrating strong profitability.,0.9999990403443996,0.9999990403443996,0.0
